Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00051.trk
Object,0
Samples,37
rat,98,
trial,3,
date,2007-12-14 12:51:49.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,168.76,45.77,148.00,176.00,e ext,132.26
2,0.20,167.38,48.31,172.00,160.00,e ext,129.82
3,0.40,166.76,51.50,288.00,188.00,e ext,127.77
4,0.60,165.39,53.94,276.00,260.00,e ext,125.44
5,0.80,164.01,56.32,252.00,272.00,e ext,123.15
6,1.00,162.57,56.79,328.00,252.00,east,121.65
7,1.20,159.62,54.94,388.00,220.00,east,119.85
8,1.40,156.74,54.04,448.00,292.00,east,117.73
9,1.60,154.61,53.82,388.00,236.00,east,115.97
10,1.80,152.47,52.72,392.00,212.00,east,114.67
11,2.00,151.08,53.16,344.00,272.00,east,113.25
12,2.20,147.63,55.06,392.00,304.00,east,109.30
13,2.40,144.19,57.68,448.00,296.00,east,105.02
14,2.60,140.09,61.94,536.00,384.00,east,99.35
15,2.80,135.32,66.83,536.00,480.00,east,92.81
16,3.00,130.55,72.91,540.00,500.00,east,85.80
17,3.20,126.47,78.55,584.00,516.00,east,79.73
18,3.40,121.69,84.67,608.00,568.00,east,73.00
19,3.60,116.21,91.19,560.00,648.00,east,65.69
20,3.80,110.68,97.41,612.00,668.00,east,58.74
21,4.00,104.42,102.07,588.00,712.00,east,51.69
22,4.20,96.70,105.92,552.00,684.00,north,43.41
23,4.40,88.22,108.44,532.00,676.00,west,34.67
24,4.60,80.40,109.72,540.00,608.00,west,26.76
25,4.80,71.78,110.44,556.00,600.00,west,18.12
26,5.00,63.03,112.05,476.00,640.00,west,9.27
27,5.20,55.63,113.06,468.00,536.00,west,1.87
28,5.40,52.63,113.97,420.00,280.00,platform,0.00
29,5.60,51.12,114.05,412.00,200.00,platform,0.00
30,5.80,51.12,114.05,424.00,116.00,platform,0.00
31,6.00,50.37,114.10,436.00,140.00,platform,0.00
32,6.20,50.37,114.10,432.00,84.00,platform,0.00
33,6.40,49.60,114.92,408.00,136.00,platform,0.00
34,6.60,49.60,114.92,424.00,80.00,platform,0.00
35,6.80,49.60,114.92,404.00,100.00,platform,0.00
36,7.00,49.60,114.92,400.00,84.00,platform,0.00
37,7.20,49.60,114.92,412.00,92.00,platform,0.00
