Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00001.trk
Object,0
Samples,225
rat,88,
trial,1,
date,2007-12-15 11:27:41.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,113.57,199.57,88.00,n ext,-,102.03
2,0.20,125.13,205.06,196.00,n ext,12.79,113.57
3,0.40,124.86,202.08,292.00,n ext,2.99,111.14
4,0.60,129.81,200.07,256.00,n ext,5.35,113.02
5,0.80,134.87,199.20,280.00,n ext,5.13,115.98
6,1.00,141.87,200.28,280.00,n ext,7.09,121.83
7,1.20,147.39,202.83,276.00,n ext,6.08,127.64
8,1.40,151.27,205.72,272.00,n ext,4.84,132.46
9,1.60,153.31,207.75,240.00,n ext,2.88,135.34
10,1.80,160.03,211.33,96.00,n ext,7.61,142.75
11,2.00,161.61,210.19,144.00,n ext,1.96,143.22
12,2.20,160.30,207.46,280.00,n ext,3.03,140.46
13,2.40,165.01,204.01,288.00,n ext,5.84,142.03
14,2.60,170.85,202.20,244.00,n ext,6.12,145.68
15,2.80,170.66,201.08,124.00,n ext,1.13,144.88
16,3.00,176.70,200.36,248.00,n ext,6.08,149.48
17,3.20,177.44,194.65,248.00,n ext,5.76,147.01
18,3.40,175.13,186.39,268.00,e ext,8.58,140.74
19,3.60,172.74,177.33,308.00,e ext,9.37,134.30
20,3.80,170.65,169.60,368.00,e ext,8.00,129.04
21,4.00,168.36,160.10,392.00,east,9.78,123.24
22,4.20,167.36,153.16,440.00,east,7.02,119.96
23,4.40,167.01,144.65,408.00,east,8.51,117.26
24,4.60,167.94,139.32,444.00,east,5.42,116.98
25,4.80,169.85,135.09,452.00,east,4.63,118.01
26,5.00,171.62,129.79,444.00,east,5.59,118.93
27,5.20,171.84,125.06,500.00,east,4.74,118.62
28,5.40,169.62,119.97,464.00,east,5.56,116.03
29,5.60,164.96,113.85,464.00,east,7.69,111.20
30,5.80,158.72,105.36,480.00,east,10.54,105.19
31,6.00,152.15,98.36,560.00,platform reversal,9.60,99.37
32,6.20,145.82,90.29,516.00,east,10.26,94.58
33,6.40,140.53,83.47,532.00,east,8.63,91.21
34,6.60,135.44,76.18,572.00,east,8.89,88.91
35,6.80,132.58,68.81,556.00,east,7.90,89.47
36,7.00,129.81,59.15,552.00,east,10.05,92.04
37,7.20,127.12,50.97,564.00,south,8.61,94.51
38,7.40,123.80,41.94,520.00,south,9.61,97.77
39,7.60,121.14,35.02,536.00,south,7.42,100.73
40,7.80,117.76,29.67,548.00,south,6.33,102.44
41,8.00,113.62,26.77,456.00,south,5.06,102.11
42,8.20,107.30,26.34,528.00,south,6.33,98.76
43,8.40,100.89,26.32,572.00,south,6.41,95.21
44,8.60,92.18,26.50,584.00,south,8.71,90.63
45,8.80,83.21,25.05,584.00,south,9.08,88.09
46,9.00,73.97,22.83,624.00,south,9.51,87.08
47,9.20,66.08,21.34,584.00,s ext,8.03,86.64
48,9.40,57.89,18.42,516.00,s ext,8.69,88.19
49,9.60,49.27,12.95,400.00,s ext,10.21,93.05
50,9.80,44.82,9.95,372.00,s ext,5.37,96.06
51,10.00,44.82,9.95,364.00,s ext,0.00,96.06
52,10.20,37.91,8.64,148.00,s ext,7.03,97.67
53,10.40,40.02,12.67,292.00,s ext,4.55,93.50
54,10.60,36.29,17.90,376.00,s ext,6.42,88.59
55,10.80,32.75,25.22,464.00,s ext,8.13,81.79
56,11.00,29.08,31.56,436.00,w ext,7.33,76.24
57,11.20,23.57,37.31,472.00,w ext,7.96,71.96
58,11.40,18.93,43.63,448.00,w ext,7.85,67.47
59,11.60,13.93,47.01,424.00,w ext,6.03,66.40
60,11.80,10.53,49.01,392.00,w ext,3.94,66.25
61,12.00,8.77,49.50,364.00,w ext,1.83,66.73
62,12.20,6.59,55.21,264.00,w ext,6.12,63.17
63,12.40,5.32,61.28,340.00,w ext,6.20,59.03
64,12.60,4.12,68.50,392.00,w ext,7.32,54.29
65,12.80,2.96,76.89,360.00,w ext,8.46,49.37
66,13.00,3.57,85.54,404.00,w ext,8.67,43.80
67,13.20,4.14,95.14,380.00,w ext,9.62,38.58
68,13.40,5.58,106.69,392.00,w ext,11.64,33.92
69,13.60,5.86,114.99,392.00,w ext,8.30,33.00
70,13.80,5.18,122.34,400.00,w ext,7.38,34.49
71,14.00,5.29,128.55,388.00,w ext,6.21,35.89
72,14.20,6.20,133.52,344.00,w ext,5.05,36.98
73,14.40,6.22,140.71,300.00,w ext,7.19,40.66
74,14.60,7.88,146.33,312.00,w ext,5.87,42.61
75,14.80,9.48,151.84,292.00,w ext,5.74,45.20
76,15.00,12.63,157.61,324.00,w ext,6.57,47.52
77,15.20,16.51,161.85,344.00,w ext,5.76,48.91
78,15.40,20.26,166.88,368.00,w ext,6.27,51.42
79,15.60,23.91,171.74,312.00,w ext,6.08,54.39
80,15.80,25.90,177.23,296.00,w ext,5.84,58.92
81,16.00,27.31,179.30,268.00,w ext,2.50,60.51
82,16.20,32.25,185.08,136.00,w ext,7.60,65.07
83,16.40,35.43,182.69,216.00,w ext,3.97,62.23
84,16.60,41.50,181.83,276.00,w ext,6.14,60.78
85,16.80,46.79,181.51,284.00,n ext,5.29,60.35
86,17.00,52.83,181.15,332.00,n ext,6.06,60.43
87,17.20,57.44,179.79,308.00,n ext,4.81,59.69
88,17.40,62.78,179.30,348.00,north,5.36,60.35
89,17.60,67.33,180.05,324.00,north,4.61,62.36
90,17.80,71.16,180.26,356.00,north,3.84,63.79
91,18.00,75.76,182.24,380.00,north,5.00,67.32
92,18.20,80.41,185.30,328.00,n ext,5.57,72.04
93,18.40,82.76,188.69,324.00,n ext,4.13,76.12
94,18.60,85.15,193.10,288.00,n ext,5.02,81.14
95,18.80,85.97,194.91,172.00,n ext,1.98,83.12
96,19.00,85.97,195.83,100.00,n ext,0.91,83.94
97,19.20,-,-,-,-,-,-
98,19.40,-,-,-,-,-,-
99,19.60,108.63,202.16,148.00,n ext,-,101.12
100,19.80,112.89,202.24,316.00,n ext,4.26,103.74
101,20.00,118.85,202.02,340.00,n ext,5.97,107.22
102,20.20,126.54,201.72,272.00,n ext,7.69,111.99
103,20.40,135.54,205.24,264.00,n ext,9.66,120.72
104,20.60,144.64,208.38,252.00,n ext,9.62,129.38
105,20.80,146.51,209.28,120.00,n ext,2.08,131.36
106,21.00,157.47,211.95,208.00,n ext,11.28,141.24
107,21.20,-,-,-,-,-,-
108,21.40,168.11,206.73,120.00,n ext,-,146.14
109,21.60,171.24,204.44,104.00,n ext,3.89,147.29
110,21.80,170.27,203.89,168.00,n ext,1.12,146.18
111,22.00,175.18,206.68,80.00,n ext,5.64,151.79
112,22.20,166.81,199.00,84.00,n ext,11.35,140.53
113,22.40,-,-,-,-,-,-
114,22.60,-,-,-,-,-,-
115,22.80,-,-,-,-,-,-
116,23.00,173.97,189.80,116.00,n ext,-,141.50
117,23.20,173.05,184.37,276.00,e ext,5.51,137.94
118,23.40,172.57,176.27,336.00,e ext,8.11,133.67
119,23.60,171.98,167.26,384.00,e ext,9.03,129.30
120,23.80,172.66,160.76,392.00,east,6.54,127.49
121,24.00,176.03,155.18,404.00,e ext,6.52,128.84
122,24.20,178.07,151.93,440.00,e ext,3.83,129.85
123,24.40,181.00,148.89,424.00,e ext,4.23,131.87
124,24.60,185.39,144.09,432.00,e ext,6.51,135.04
125,24.80,189.78,138.97,388.00,e ext,6.74,138.32
126,25.00,194.35,134.65,364.00,e ext,6.29,142.12
127,25.20,198.01,129.82,316.00,e ext,6.06,145.13
128,25.40,198.75,123.11,276.00,e ext,6.75,145.29
129,25.60,198.27,113.85,304.00,e ext,9.27,144.51
130,25.80,195.96,103.37,308.00,e ext,10.73,142.48
131,26.00,194.81,94.19,336.00,e ext,9.25,142.21
132,26.20,192.91,85.16,308.00,e ext,9.23,141.77
133,26.40,189.50,76.57,324.00,e ext,9.24,140.25
134,26.60,184.61,67.62,324.00,e ext,10.20,138.02
135,26.80,180.02,59.18,344.00,e ext,9.61,136.61
136,27.00,177.31,52.67,356.00,e ext,7.05,136.72
137,27.20,176.10,43.64,360.00,e ext,9.11,139.72
138,27.40,174.32,36.02,308.00,e ext,7.82,142.00
139,27.60,171.23,30.30,288.00,e ext,6.50,142.50
140,27.80,167.59,27.15,316.00,e ext,4.82,141.25
141,28.00,164.03,24.09,376.00,e ext,4.69,140.16
142,28.20,159.87,20.50,360.00,e ext,5.50,139.09
143,28.40,155.79,16.96,336.00,e ext,5.41,138.26
144,28.60,151.08,14.74,328.00,s ext,5.20,136.27
145,28.80,145.03,15.00,352.00,s ext,6.05,131.76
146,29.00,138.31,16.15,364.00,s ext,6.83,126.23
147,29.20,132.25,15.67,372.00,s ext,6.08,122.51
148,29.40,126.14,14.79,412.00,s ext,6.17,119.26
149,29.60,121.34,12.27,428.00,s ext,5.41,118.35
150,29.80,115.06,9.64,404.00,s ext,6.81,116.95
151,30.00,109.36,7.36,344.00,s ext,6.14,115.79
152,30.20,102.81,6.50,300.00,s ext,6.60,113.28
153,30.40,97.68,8.10,320.00,s ext,5.38,109.51
154,30.60,85.65,9.14,164.00,s ext,12.07,103.79
155,30.80,83.41,10.53,344.00,s ext,2.64,101.71
156,31.00,78.03,11.06,396.00,s ext,5.41,99.52
157,31.20,73.20,8.69,396.00,s ext,5.38,100.54
158,31.40,66.63,5.47,324.00,s ext,7.32,102.34
159,31.60,60.87,4.20,328.00,s ext,5.90,102.68
160,31.80,55.26,5.77,348.00,s ext,5.83,100.52
161,32.00,50.45,7.58,424.00,s ext,5.14,98.45
162,32.20,43.94,9.54,400.00,s ext,6.80,96.49
163,32.40,37.44,12.45,356.00,s ext,7.12,93.91
164,32.60,31.56,13.64,336.00,s ext,6.01,93.41
165,32.80,28.47,17.25,296.00,s ext,4.74,90.38
166,33.00,23.19,25.01,172.00,w ext,9.39,83.94
167,33.20,24.45,28.62,400.00,w ext,3.82,80.14
168,33.40,23.57,37.31,408.00,w ext,8.74,71.96
169,33.60,21.74,45.63,428.00,w ext,8.51,64.61
170,33.80,19.95,55.00,392.00,w ext,9.54,56.61
171,34.00,17.93,62.40,464.00,w ext,7.67,50.96
172,34.20,14.15,70.56,424.00,w ext,9.00,46.31
173,34.40,9.28,76.83,400.00,w ext,7.94,44.73
174,34.60,5.03,80.39,356.00,w ext,5.54,45.55
175,34.80,4.27,82.42,300.00,w ext,2.16,44.95
176,35.00,0.04,87.36,140.00,w ext,6.50,45.86
177,35.20,1.30,92.87,140.00,w ext,5.66,42.12
178,35.40,0.64,97.17,108.00,w ext,4.35,41.06
179,35.60,3.52,100.42,208.00,w ext,4.34,37.31
180,35.80,8.10,103.52,128.00,w ext,5.53,32.08
181,36.00,9.77,101.46,224.00,w ext,2.65,31.03
182,36.20,13.28,102.45,284.00,w ext,3.65,27.39
183,36.40,16.77,104.36,368.00,west,3.98,23.48
184,36.60,21.10,108.97,460.00,west,6.32,18.27
185,36.80,25.30,113.31,432.00,west,6.04,13.57
186,37.00,29.37,118.30,456.00,west,6.44,9.97
187,37.20,33.32,122.17,476.00,west,5.54,7.84
188,37.40,36.43,124.30,424.00,west,3.77,6.66
189,37.60,38.74,125.64,452.00,west,2.67,6.42
190,37.80,40.19,129.53,488.00,west,4.16,9.14
191,38.00,40.88,132.68,492.00,west,3.23,11.98
192,38.20,40.76,136.79,464.00,west,4.11,16.04
193,38.40,40.68,139.27,452.00,west,2.48,18.50
194,38.60,38.99,143.78,492.00,west,4.82,23.23
195,38.80,37.22,150.11,452.00,west,6.57,29.78
196,39.00,35.40,156.60,432.00,west,6.74,36.52
197,39.20,31.90,165.66,404.00,w ext,9.71,46.15
198,39.40,29.15,173.92,360.00,w ext,8.70,54.83
199,39.60,25.79,179.12,216.00,w ext,6.20,60.76
200,39.80,24.71,184.29,92.00,w ext,5.28,66.02
201,40.00,27.80,183.63,116.00,w ext,3.16,64.58
202,40.20,33.15,182.85,120.00,w ext,5.41,62.72
203,40.40,37.75,181.66,128.00,w ext,4.75,60.95
204,40.60,40.19,178.88,240.00,w ext,3.69,57.93
205,40.80,44.09,176.49,204.00,w ext,4.57,55.33
206,41.00,46.54,173.06,328.00,west,4.22,51.90
207,41.20,49.07,168.05,344.00,west,5.61,47.03
208,41.40,51.57,163.22,388.00,west,5.44,42.46
209,41.60,52.49,159.74,380.00,west,3.60,39.12
210,41.80,53.52,153.91,464.00,west,5.92,33.53
211,42.00,53.85,146.79,476.00,west,7.13,26.64
212,42.20,54.14,139.77,532.00,west,7.02,20.01
213,42.40,54.44,131.31,464.00,west,8.46,12.14
214,42.60,53.94,123.01,468.00,west,8.32,5.04
215,42.80,53.31,117.74,492.00,west,5.31,1.02
216,43.00,52.61,114.74,468.00,platform,3.09,0.00
217,43.20,50.34,115.65,484.00,platform,2.44,0.00
218,43.40,50.34,115.65,472.00,platform,0.00,0.00
219,43.60,50.34,115.65,468.00,platform,0.00,0.00
220,43.80,48.82,116.53,492.00,platform,1.76,0.00
221,44.00,48.06,116.59,532.00,platform,0.76,0.00
222,44.20,48.06,116.59,508.00,platform,0.00,0.00
223,44.40,48.05,117.37,536.00,platform,0.78,0.00
224,44.60,48.05,117.37,520.00,platform,0.00,0.00
225,44.80,48.06,116.59,452.00,platform,0.78,0.00
