Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00066.trk
Object,0
Samples,308
rat,100,
trial,2,
date,2007-12-15 14:18:31.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,162.03,34.03,68.00,92.00,e ext,-,132.76
2,0.20,157.13,32.55,124.00,192.00,e ext,5.12,129.59
3,0.40,157.13,33.50,276.00,208.00,e ext,0.94,129.05
4,0.60,155.75,34.14,348.00,160.00,e ext,1.52,127.55
5,0.80,152.32,37.49,356.00,264.00,e ext,4.80,122.81
6,1.00,149.58,39.50,388.00,264.00,east,3.40,119.41
7,1.20,145.48,42.78,396.00,304.00,east,5.25,114.17
8,1.40,142.75,44.56,412.00,240.00,east,3.25,110.92
9,1.60,140.71,46.04,460.00,248.00,east,2.53,108.39
10,1.80,139.35,46.44,432.00,284.00,east,1.42,107.05
11,2.00,136.63,47.20,428.00,268.00,east,2.82,104.40
12,2.20,133.92,47.90,480.00,292.00,south,2.80,101.79
13,2.40,131.21,47.72,460.00,332.00,south,2.71,99.73
14,2.60,127.83,46.83,484.00,312.00,south,3.49,97.62
15,2.80,124.45,45.06,468.00,320.00,south,3.81,96.18
16,3.00,121.75,43.91,444.00,320.00,south,2.94,94.92
17,3.20,119.72,41.81,456.00,380.00,south,2.92,94.91
18,3.40,117.68,40.47,524.00,396.00,south,2.44,94.41
19,3.60,115.64,37.46,484.00,400.00,south,3.64,95.20
20,3.80,114.96,35.89,464.00,412.00,south,1.71,95.91
21,4.00,114.28,35.13,492.00,452.00,south,1.02,96.03
22,4.20,114.97,34.23,484.00,224.00,south,1.14,97.17
23,4.40,116.36,33.23,476.00,320.00,south,1.71,98.83
24,4.60,118.41,33.79,488.00,332.00,south,2.13,99.78
25,4.80,120.45,35.96,456.00,336.00,south,2.98,99.57
26,5.00,122.45,40.56,492.00,380.00,south,5.01,97.74
27,5.20,123.77,45.99,460.00,408.00,south,5.59,95.05
28,5.40,125.75,53.57,520.00,516.00,south,7.84,91.85
29,5.60,126.41,59.69,520.00,464.00,south,6.16,88.90
30,5.80,127.77,66.40,544.00,448.00,east,6.85,86.44
31,6.00,128.49,73.14,524.00,516.00,east,6.77,83.85
32,6.20,128.56,79.88,560.00,516.00,east,6.74,81.14
33,6.40,127.95,85.85,588.00,492.00,east,6.00,78.50
34,6.60,126.63,90.30,588.00,520.00,east,4.65,75.95
35,6.80,125.29,93.24,592.00,604.00,east,3.23,73.91
36,7.00,122.50,93.99,608.00,480.00,east,2.88,71.03
37,7.20,116.92,93.29,608.00,560.00,east,5.63,65.79
38,7.40,112.05,90.50,612.00,556.00,east,5.61,61.94
39,7.60,106.52,87.02,592.00,564.00,south,6.53,58.05
40,7.80,100.31,82.80,588.00,580.00,south,7.51,54.45
41,8.00,94.76,78.46,588.00,552.00,south,7.04,52.16
42,8.20,87.74,73.83,580.00,632.00,south,8.41,49.66
43,8.40,81.29,69.63,544.00,572.00,south,7.69,48.43
44,8.60,75.42,65.17,556.00,524.00,south,7.37,48.77
45,8.80,71.65,61.51,508.00,448.00,south,5.25,50.10
46,9.00,67.80,57.65,448.00,436.00,south,5.45,52.09
47,9.20,66.23,55.73,476.00,460.00,south,2.49,53.38
48,9.40,64.53,51.27,476.00,464.00,south,4.77,57.14
49,9.60,65.09,46.43,488.00,404.00,south,4.88,61.97
50,9.80,65.58,40.64,516.00,428.00,south,5.80,67.69
51,10.00,66.80,34.08,496.00,420.00,south,6.67,74.35
52,10.20,68.05,28.28,500.00,364.00,south,5.93,80.28
