Track file,I:\Rat Navigation Data\exp nesté 1morris_0003\data\track_00080.trk
Object,0
Samples,72
rat,115,
trial,4,
date,2007-12-16 14:33:11.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,127.97,31.90,324.00,336.00,south,107.74,-
2,0.20,123.92,29.42,328.00,308.00,south,106.72,4.74
3,0.40,121.21,27.39,304.00,256.00,south,106.42,3.39
4,0.60,117.77,27.11,252.00,340.00,south,104.42,3.45
5,0.80,115.70,27.39,312.00,172.00,south,102.90,2.09
6,1.00,112.22,29.46,420.00,292.00,south,99.12,4.05
7,1.20,108.02,33.09,428.00,384.00,south,93.69,5.54
8,1.40,102.41,38.11,488.00,452.00,south,86.32,7.53
9,1.60,97.49,43.59,492.00,524.00,south,78.99,7.37
10,1.80,93.28,50.40,500.00,536.00,south,71.00,8.01
11,2.00,88.35,57.65,520.00,572.00,south,62.25,8.76
12,2.20,84.84,64.81,484.00,548.00,south,54.41,7.98
13,2.40,82.03,71.90,476.00,544.00,south,47.13,7.63
14,2.60,80.63,78.30,516.00,456.00,south,41.45,6.55
15,2.80,80.63,84.72,512.00,540.00,south,37.10,6.42
16,3.00,81.32,91.78,532.00,524.00,west,33.59,7.09
17,3.20,84.09,98.80,508.00,608.00,west,32.83,7.55
18,3.40,87.57,103.67,496.00,500.00,west,34.83,5.98
19,3.60,91.76,107.84,476.00,476.00,west,38.26,5.90
20,3.80,96.66,111.35,476.00,416.00,north,42.91,6.04
21,4.00,100.19,112.82,492.00,344.00,north,46.42,3.82
22,4.20,104.44,113.67,448.00,364.00,north,50.68,4.33
23,4.40,108.68,111.81,452.00,428.00,east,54.91,4.63
24,4.60,112.19,109.21,424.00,404.00,east,58.50,4.37
25,4.80,114.95,104.45,488.00,440.00,east,61.69,5.50
26,5.00,118.37,98.23,520.00,544.00,east,66.10,7.10
27,5.20,121.07,91.14,524.00,556.00,east,70.36,7.59
28,5.40,124.45,83.82,496.00,556.00,east,75.88,8.06
29,5.60,127.15,77.01,448.00,464.00,east,80.97,7.32
30,5.80,128.48,71.63,360.00,456.00,east,84.53,5.55
31,6.00,127.78,67.17,400.00,360.00,east,86.06,4.52
32,6.20,125.05,61.43,412.00,428.00,south,86.81,6.36
33,6.40,120.99,55.82,464.00,452.00,south,86.69,6.92
34,6.60,118.29,51.51,468.00,404.00,south,87.30,5.09
35,6.80,115.58,47.89,488.00,348.00,south,87.70,4.52
36,7.00,112.86,43.39,472.00,376.00,south,88.96,5.26
37,7.20,109.42,38.79,492.00,372.00,south,90.10,5.75
38,7.40,106.62,35.62,472.00,332.00,south,90.83,4.22
39,7.60,102.36,30.63,488.00,400.00,south,92.44,6.56
40,7.80,97.98,24.44,508.00,460.00,south,95.28,7.59
41,8.00,94.23,19.69,504.00,452.00,s ext,97.61,6.05
42,8.20,90.33,12.80,412.00,460.00,s ext,102.15,7.92
43,8.40,88.65,7.83,292.00,256.00,s ext,106.09,5.25
44,8.60,87.85,6.73,260.00,104.00,s ext,106.82,1.36
45,8.80,87.01,4.65,100.00,184.00,s ext,108.47,2.25
46,9.00,84.07,7.84,68.00,152.00,s ext,104.46,4.34
47,9.20,82.67,11.30,132.00,152.00,s ext,100.74,3.73
48,9.40,80.47,13.57,264.00,212.00,s ext,97.87,3.17
49,9.60,77.52,16.52,364.00,276.00,s ext,94.16,4.17
50,9.80,73.87,21.00,452.00,360.00,s ext,88.82,5.78
51,10.00,68.74,26.71,488.00,468.00,south,81.98,7.68
52,10.20,62.94,34.69,436.00,596.00,south,72.94,9.87
53,10.40,57.80,41.00,456.00,516.00,south,65.81,8.13
54,10.60,51.93,48.82,412.00,564.00,south,57.35,9.78
55,10.80,48.28,54.74,388.00,416.00,west,51.25,6.95
56,11.00,43.89,62.29,364.00,464.00,west,43.75,8.74
57,11.20,39.45,70.03,396.00,464.00,west,36.49,8.92
58,11.40,36.54,77.39,388.00,432.00,west,29.90,7.91
59,11.60,35.23,85.09,412.00,432.00,west,22.93,7.81
60,11.80,34.68,93.74,392.00,396.00,west,15.49,8.67
61,12.00,35.62,99.81,364.00,380.00,west,10.04,6.14
62,12.20,38.86,106.56,428.00,376.00,west,2.81,7.49
63,12.40,40.43,110.64,412.00,320.00,platform,0.00,4.38
64,12.60,41.98,113.01,424.00,268.00,platform,0.00,2.83
65,12.80,43.53,112.11,432.00,208.00,platform,0.00,1.79
66,13.00,44.30,112.07,452.00,196.00,platform,0.00,0.77
67,13.20,43.53,111.30,432.00,164.00,platform,0.00,1.08
68,13.40,44.31,109.66,432.00,176.00,platform,0.00,1.82
69,13.60,45.08,109.63,448.00,176.00,platform,0.00,0.77
70,13.80,45.08,109.63,456.00,280.00,platform,0.00,0.00
71,14.00,45.07,110.43,444.00,172.00,platform,0.00,0.80
72,14.20,46.61,110.36,432.00,316.00,platform,0.00,1.53
