Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0001\data\track_00037.trk
Object,0
Samples,450
rat,83,
trial,1,
date,2008-01-15 12:23:40.000,yyyy-MM-dd HH:mm:ss
Status,Acquired,
Trial duration,0000:00:01:30.000,dd:HH:mm:ss
Tracking profile,Tracking profile (1),
Arena,wm trial,
Track file,track_00037.trk,
Object,0,
Arena profile,wm learning ,
Start date & time,2008-01-15 12:24:39.335,yyyy-MM-dd HH:mm:ss
Stop date & time,2008-01-15 12:26:09.335,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,20,
Mobility high,60,
Movie file,,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,81.68,6.32,112.00,328.00,s ext,-,105.14
2,0.20,84.07,7.84,240.00,208.00,s ext,2.83,104.46
3,0.40,84.76,6.09,244.00,300.00,s ext,1.89,106.35
4,0.60,84.76,6.09,280.00,156.00,s ext,0.00,106.35
5,0.80,84.84,8.01,388.00,164.00,s ext,1.93,104.56
6,1.00,84.18,10.70,408.00,252.00,s ext,2.77,101.81
7,1.20,83.41,10.53,400.00,368.00,s ext,0.79,101.71
8,1.40,83.49,12.42,360.00,280.00,s ext,1.89,99.96
9,1.60,81.16,11.88,492.00,252.00,s ext,2.39,99.70
10,1.80,80.51,14.51,508.00,504.00,s ext,2.71,97.00
11,2.00,78.99,15.05,420.00,272.00,s ext,1.61,96.00
12,2.20,77.48,15.58,400.00,388.00,s ext,1.61,95.04
13,2.40,76.00,17.02,432.00,240.00,s ext,2.07,93.23
14,2.60,76.13,19.81,576.00,248.00,s ext,2.79,90.61
15,2.80,76.18,20.73,624.00,400.00,s ext,0.92,89.74
16,3.00,77.08,23.66,660.00,396.00,south,3.07,87.23
17,3.20,78.74,26.72,656.00,340.00,south,3.48,84.90
18,3.40,79.57,28.66,688.00,328.00,south,2.11,83.38
19,3.60,80.37,29.70,736.00,320.00,south,1.31,82.71
20,3.80,81.97,32.61,616.00,392.00,south,3.32,80.65
21,4.00,83.52,34.60,528.00,520.00,south,2.52,79.50
22,4.20,83.55,35.44,560.00,288.00,south,0.85,78.74
23,4.40,84.34,37.25,656.00,448.00,south,1.98,77.47
24,4.60,85.86,39.15,632.00,416.00,south,2.43,76.50
25,4.80,86.63,40.91,660.00,460.00,south,1.92,75.34
26,5.00,87.42,43.45,676.00,472.00,south,2.66,73.55
27,5.20,87.45,45.07,716.00,304.00,south,1.61,72.19
28,5.40,87.49,47.46,744.00,396.00,south,2.40,70.19
29,5.60,87.56,51.41,744.00,432.00,south,3.94,66.94
30,5.80,86.88,54.43,720.00,320.00,south,3.10,64.04
31,6.00,85.47,56.58,672.00,368.00,south,2.57,61.48
32,6.20,85.51,60.39,632.00,376.00,south,3.81,58.37
33,6.40,84.83,63.32,668.00,340.00,south,3.01,55.59
34,6.60,84.85,65.56,688.00,468.00,south,2.24,53.83
35,6.80,84.14,66.23,732.00,516.00,south,0.98,52.86
36,7.00,85.59,68.58,708.00,704.00,south,2.76,51.97
37,7.20,87.01,68.70,660.00,272.00,south,1.43,52.82
38,7.40,88.43,68.08,628.00,336.00,south,1.55,54.24
39,7.60,88.42,66.62,712.00,524.00,south,1.47,55.31
40,7.80,86.27,64.21,780.00,540.00,south,3.23,55.77
41,8.00,83.39,63.16,752.00,604.00,south,3.07,54.87
42,8.20,77.56,61.66,772.00,700.00,south,6.02,52.87
43,8.40,71.62,59.94,776.00,732.00,south,6.19,51.49
44,8.60,65.49,56.38,812.00,756.00,south,7.09,52.53
