Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00029.trk
Object,0
Samples,50
rat,57,
trial,1,
comment,,
Status,Acquired,
Trial duration,0000:00:00:10.000,dd:HH:mm:ss
Tracking profile,Tracking profile (1),
Arena,wm trial,
Track file,track_00029.trk,
Object,0,
Arena profile,wm learning ,
Start date & time,2008-01-17 11:29:39.652,yyyy-MM-dd HH:mm:ss
Stop date & time,2008-01-17 11:29:49.652,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,20,
Mobility high,60,
Movie file,,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,176.40,134.69,112.00,136.00,east,124.40,-
2,0.20,178.12,135.09,152.00,144.00,east,126.17,1.77
3,0.40,179.14,130.33,252.00,236.00,east,126.46,4.87
4,0.60,179.86,129.47,312.00,148.00,e ext,127.07,1.12
5,0.80,181.30,127.73,272.00,216.00,e ext,128.29,2.26
6,1.00,181.73,124.75,300.00,252.00,e ext,128.44,3.01
7,1.20,181.45,122.66,344.00,212.00,e ext,128.00,2.10
8,1.40,181.32,121.62,388.00,204.00,e ext,127.80,1.05
9,1.60,182.03,120.70,388.00,144.00,e ext,128.46,1.17
10,1.80,181.63,117.57,304.00,292.00,e ext,127.93,3.15
11,2.00,180.65,116.44,324.00,196.00,e ext,126.93,1.50
12,2.20,179.68,115.32,344.00,140.00,e ext,125.94,1.48
13,2.40,178.47,112.18,400.00,256.00,east,124.70,3.36
14,2.60,177.41,110.10,380.00,252.00,east,123.66,2.34
15,2.80,177.18,108.08,416.00,164.00,east,123.48,2.03
16,3.00,175.22,105.02,384.00,416.00,east,121.67,3.64
17,3.20,171.89,103.94,408.00,304.00,east,118.42,3.49
18,3.40,167.92,103.84,420.00,308.00,east,114.46,3.98
19,3.60,162.44,103.70,500.00,352.00,east,109.01,5.48
20,3.80,156.98,102.68,456.00,396.00,east,103.66,5.55
21,4.00,150.82,100.88,496.00,416.00,platform reversal,97.73,6.41
22,4.20,145.50,98.39,484.00,444.00,platform reversal,92.79,5.88
23,4.40,141.01,96.04,568.00,476.00,east,88.76,5.06
24,4.60,135.09,90.78,640.00,520.00,east,84.01,7.92
25,4.80,129.36,86.52,624.00,552.00,east,79.63,7.14
26,5.00,124.45,83.09,628.00,508.00,east,76.13,5.99
27,5.20,118.91,80.47,676.00,592.00,east,72.05,6.12
28,5.40,113.41,78.53,704.00,572.00,south,67.98,5.83
29,5.60,107.92,78.64,668.00,660.00,south,63.12,5.50
30,5.80,103.09,80.05,704.00,524.00,south,58.25,5.03
31,6.00,97.53,82.74,744.00,536.00,south,52.12,6.17
32,6.20,91.23,86.68,720.00,624.00,south,44.68,7.43
33,6.40,84.87,89.86,744.00,648.00,south,37.62,7.11
34,6.60,78.44,94.45,740.00,668.00,west,29.73,7.90
35,6.80,71.94,99.14,724.00,664.00,west,21.72,8.02
36,7.00,66.08,103.32,692.00,624.00,west,14.55,7.19
37,7.20,61.64,106.95,680.00,500.00,west,8.95,5.74
38,7.40,58.65,109.22,668.00,396.00,west,5.39,3.75
39,7.60,56.40,111.53,648.00,348.00,west,2.76,3.23
40,7.80,54.89,112.34,612.00,268.00,west,1.12,1.71
41,8.00,51.13,113.28,644.00,408.00,platform,0.00,3.88
42,8.20,48.86,113.40,660.00,272.00,platform,0.00,2.27
43,8.40,49.62,113.36,632.00,92.00,platform,0.00,0.76
44,8.60,49.62,113.36,608.00,96.00,platform,0.00,0.00
45,8.80,49.61,114.14,668.00,140.00,platform,0.00,0.78
46,9.00,47.32,115.86,672.00,332.00,platform,0.00,2.87
47,9.20,45.78,116.76,740.00,188.00,platform,0.00,1.78
48,9.40,45.00,118.42,740.00,240.00,platform,0.00,1.83
49,9.60,45.00,118.42,728.00,172.00,platform,0.00,0.00
50,9.80,45.01,117.62,664.00,184.00,platform,0.00,0.80
