Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0001\data\track_00011.trk
Object,0
Samples,112
treatment,2,
cage,32,
mark,1,
id,52,
trial,3,
date,2009-07-26 10:37:00.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,202.79,-8.46,544.00,208.00,e ext,174.16,-
2,0.20,205.37,-12.13,416.00,256.00,s ext,178.44,4.49
3,0.40,204.07,-10.29,600.00,248.00,s ext,176.29,2.25
4,0.60,205.56,-12.86,520.00,176.00,s ext,179.03,2.97
5,0.80,203.14,-9.93,564.00,212.00,s ext,175.33,3.80
6,1.00,203.48,-11.31,508.00,528.00,s ext,176.44,1.43
7,1.20,201.21,-9.10,656.00,500.00,s ext,173.29,3.17
8,1.40,197.91,-6.48,592.00,408.00,s ext,169.08,4.21
9,1.60,193.34,-2.25,668.00,492.00,s ext,162.88,6.23
10,1.80,188.76,2.38,652.00,296.00,south,156.43,6.51
11,2.00,183.19,8.31,672.00,372.00,south,148.41,8.14
12,2.20,176.81,15.36,656.00,416.00,south,139.11,9.50
13,2.40,169.86,23.32,712.00,416.00,south,128.84,10.57
14,2.60,164.52,30.64,784.00,408.00,south,120.32,9.06
15,2.80,157.24,40.67,812.00,580.00,south,108.83,12.39
16,3.00,151.90,50.15,808.00,596.00,south,99.49,10.88
17,3.20,146.82,60.30,864.00,632.00,east,90.46,11.35
18,3.40,142.28,70.99,932.00,780.00,east,82.26,11.61
19,3.60,138.55,82.10,944.00,772.00,east,75.40,11.72
20,3.80,136.07,92.60,928.00,856.00,reveral larger,71.15,10.80
21,4.00,135.49,101.82,948.00,820.00,reveral larger,70.08,9.23
22,4.20,135.15,109.77,964.00,808.00,reveral larger,70.14,7.96
23,4.40,137.61,118.41,940.00,808.00,east,73.86,8.98
24,4.60,140.07,126.11,856.00,668.00,east,78.10,8.09
25,4.80,142.77,132.26,924.00,580.00,east,82.54,6.72
26,5.00,145.65,137.73,896.00,476.00,east,87.11,6.18
27,5.20,149.11,142.22,884.00,620.00,east,92.01,5.67
28,5.40,152.82,146.98,840.00,644.00,east,97.33,6.04
29,5.60,155.55,149.12,880.00,552.00,east,100.72,3.47
30,5.80,158.41,150.10,872.00,616.00,east,103.72,3.02
31,6.00,157.50,144.23,904.00,576.00,east,100.52,5.94
32,6.20,156.94,137.89,852.00,564.00,east,97.77,6.36
33,6.40,155.00,128.83,908.00,608.00,east,93.20,9.26
34,6.60,152.85,115.62,960.00,740.00,reveral larger,88.45,13.38
35,6.80,150.78,103.03,912.00,856.00,reveral larger,85.38,12.76
36,7.00,149.39,90.83,936.00,800.00,reveral larger,84.58,12.28
37,7.20,148.24,80.55,916.00,820.00,east,85.18,10.34
38,7.40,145.40,72.85,932.00,920.00,east,84.58,8.21
39,7.60,142.06,68.38,976.00,836.00,east,82.99,5.58
40,7.80,136.33,67.10,1056.00,1000.00,south,78.14,5.87
41,8.00,129.17,67.17,1032.00,896.00,south,71.55,7.16
42,8.20,121.60,66.99,1052.00,988.00,south,64.84,7.57
43,8.40,113.26,67.02,1136.00,1020.00,south,57.56,8.34
44,8.60,104.40,66.16,1044.00,964.00,south,50.67,8.90
45,8.80,94.01,64.08,1048.00,996.00,south,44.01,10.59
46,9.00,83.74,60.65,1040.00,928.00,south,40.01,10.83
47,9.20,74.84,57.13,940.00,764.00,south,38.86,9.57
48,9.40,66.77,53.72,1008.00,692.00,south,39.66,8.76
49,9.60,59.50,49.99,932.00,732.00,south,42.43,8.17
50,9.80,54.60,47.69,832.00,612.00,south,44.68,5.41
51,10.00,50.64,46.75,840.00,632.00,south,45.98,4.08
52,10.20,49.38,47.97,756.00,596.00,south,44.96,1.76
53,10.40,51.07,52.38,796.00,568.00,south,40.34,4.72
54,10.60,54.41,58.13,828.00,528.00,west,34.27,6.65
55,10.80,58.50,65.14,932.00,552.00,west,27.24,8.12
56,11.00,63.75,73.60,952.00,756.00,west,19.63,9.95
57,11.20,68.16,82.19,1000.00,840.00,west,13.52,9.66
58,11.40,71.57,90.18,1008.00,792.00,west,10.01,8.68
59,11.60,74.74,97.79,1028.00,868.00,west,9.69,8.24
60,11.80,77.88,104.16,1032.00,876.00,west,12.61,7.11
61,12.00,81.17,110.00,1028.00,940.00,west,17.10,6.71
62,12.20,84.58,114.06,1028.00,872.00,west,21.62,5.30
63,12.40,89.84,116.06,988.00,832.00,north,27.24,5.63
64,12.60,95.96,118.21,1040.00,860.00,north,33.72,6.48
65,12.80,102.48,120.17,1088.00,864.00,north,40.52,6.81
66,13.00,110.77,123.66,1092.00,988.00,north,49.51,8.99
67,13.20,118.21,127.17,1088.00,980.00,north,57.70,8.22
68,13.40,127.27,133.40,988.00,1028.00,north,68.46,11.00
69,13.60,134.82,139.76,952.00,748.00,north,77.97,9.87
70,13.80,142.94,148.19,956.00,756.00,north,89.04,11.71
71,14.00,151.88,157.05,920.00,716.00,north,101.16,12.58
72,14.20,161.37,167.18,940.00,700.00,north,114.53,13.88
73,14.40,172.24,179.33,832.00,732.00,north,130.28,16.30
74,14.60,184.01,191.72,884.00,620.00,north,147.03,17.09
75,14.80,198.29,206.34,756.00,736.00,n ext,167.17,20.44
76,15.00,210.72,218.62,756.00,584.00,n ext,184.45,17.47
77,15.20,217.40,225.10,700.00,312.00,n ext,193.68,9.31
78,15.40,216.31,224.00,616.00,324.00,n ext,192.15,1.55
79,15.60,211.77,219.70,508.00,492.00,n ext,185.93,6.25
80,15.80,214.27,221.72,484.00,584.00,n ext,189.15,3.22
81,16.00,213.75,220.91,632.00,452.00,n ext,188.24,0.97
82,16.20,209.36,215.90,656.00,504.00,n ext,181.74,6.66
83,16.40,203.67,209.04,696.00,528.00,e ext,173.11,8.91
84,16.60,194.80,197.93,660.00,580.00,e ext,159.42,14.22
85,16.80,184.50,184.50,720.00,588.00,east,143.36,16.92
86,17.00,177.51,175.23,676.00,492.00,east,132.49,11.61
