Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00044.trk
Object,0
Samples,152
treatment,2,
cage,28,
mark,1,
id,92,
trial,12,
date,2009-07-28 10:37:43.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,201.70,-7.39,544.00,1092.00,s ext,172.64,-
2,0.20,198.42,-4.23,496.00,416.00,s ext,168.12,4.55
3,0.40,192.89,1.54,560.00,336.00,south,160.24,7.99
4,0.60,187.43,7.68,692.00,308.00,south,152.21,8.22
5,0.80,182.17,13.51,700.00,304.00,south,144.55,7.85
6,1.00,176.14,20.49,660.00,416.00,south,135.63,9.22
7,1.20,170.52,27.70,704.00,452.00,south,126.95,9.15
8,1.40,166.20,33.87,700.00,452.00,south,120.01,7.53
9,1.60,162.32,40.51,780.00,416.00,east,113.28,7.69
10,1.80,159.11,48.53,752.00,484.00,east,106.63,8.64
11,2.00,156.19,55.72,740.00,420.00,east,100.88,7.77
12,2.20,154.96,61.27,852.00,408.00,east,97.60,5.68
13,2.40,153.99,66.93,860.00,416.00,east,94.65,5.75
14,2.60,154.02,72.53,824.00,468.00,east,92.87,5.59
15,2.80,154.70,79.59,876.00,492.00,east,91.69,7.09
16,3.00,155.84,87.18,852.00,576.00,east,91.43,7.68
17,3.20,157.33,96.70,844.00,544.00,east,92.08,9.63
18,3.40,159.58,108.26,776.00,604.00,east,94.36,11.78
19,3.60,164.47,120.08,704.00,672.00,east,100.60,12.79
20,3.80,168.43,129.25,788.00,484.00,east,106.31,9.99
21,4.00,172.51,136.10,700.00,624.00,east,112.04,7.97
22,4.20,176.07,138.73,704.00,572.00,east,116.21,4.42
23,4.40,178.79,140.80,668.00,428.00,e ext,119.44,3.42
24,4.60,180.35,140.54,624.00,364.00,e ext,120.85,1.59
25,4.80,180.54,136.07,628.00,404.00,e ext,119.75,4.47
26,5.00,178.90,128.51,692.00,312.00,e ext,116.35,7.73
27,5.20,177.60,121.02,680.00,292.00,e ext,113.71,7.60
28,5.40,174.93,111.13,788.00,412.00,east,109.88,10.25
29,5.60,172.13,99.82,764.00,528.00,east,106.75,11.65
30,5.80,170.08,89.30,820.00,520.00,east,105.31,10.72
31,6.00,169.17,81.08,744.00,484.00,east,105.57,8.26
32,6.20,170.27,73.03,752.00,504.00,east,108.37,8.13
33,6.40,171.61,68.10,676.00,492.00,east,110.98,5.11
34,6.60,172.59,64.77,688.00,604.00,east,112.92,3.47
35,6.80,174.20,64.33,700.00,428.00,east,114.59,1.67
36,7.00,175.17,68.96,684.00,288.00,east,114.16,4.72
37,7.20,175.89,75.67,740.00,392.00,east,113.23,6.75
38,7.40,177.43,84.63,688.00,388.00,e ext,113.17,9.09
39,7.60,179.30,96.15,664.00,456.00,e ext,114.05,11.68
40,7.80,181.17,106.29,640.00,376.00,e ext,115.83,10.31
41,8.00,183.63,116.95,560.00,560.00,e ext,119.13,10.94
42,8.20,183.83,124.57,560.00,328.00,e ext,120.44,7.61
