Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0004\data\track_00036.trk
Object,0
Samples,450
treatment,2,
cage,53,
mark,2,
id,96,
date,2009-07-30 11:47:43.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,102.24,16.14,596.00,220.00,s ext
2,0.20,104.23,15.07,532.00,256.00,s ext
3,0.40,105.99,14.98,508.00,384.00,s ext
4,0.60,109.81,13.71,608.00,324.00,s ext
5,0.80,115.10,13.17,664.00,480.00,s ext
6,1.00,122.09,12.15,656.00,376.00,s ext
7,1.20,128.51,11.89,724.00,364.00,s ext
8,1.40,131.91,11.10,652.00,312.00,s ext
9,1.60,137.84,13.27,716.00,432.00,s ext
10,1.80,141.33,13.98,732.00,344.00,south
11,2.00,143.26,16.83,776.00,420.00,south
12,2.20,144.89,19.60,676.00,388.00,south
13,2.40,147.61,21.72,776.00,404.00,south
14,2.60,146.02,27.15,820.00,452.00,south
15,2.80,145.09,31.41,812.00,456.00,south
16,3.00,142.86,37.71,796.00,544.00,south
17,3.20,141.34,42.89,840.00,516.00,south
18,3.40,137.48,49.83,912.00,528.00,south
19,3.60,132.75,57.70,884.00,604.00,south
20,3.80,128.71,65.07,936.00,612.00,south
21,4.00,124.25,72.94,960.00,688.00,south
22,4.20,121.47,79.31,1048.00,752.00,south
23,4.40,118.81,86.75,1004.00,764.00,south
24,4.60,116.87,93.05,1040.00,732.00,east
25,4.80,115.94,99.08,1048.00,784.00,east
26,5.00,115.34,104.94,1084.00,756.00,east
27,5.20,114.99,111.28,1100.00,848.00,east
28,5.40,115.59,117.08,1100.00,704.00,north
29,5.60,116.50,123.52,1056.00,740.00,north
30,5.80,117.67,129.41,1036.00,692.00,north
31,6.00,119.09,135.39,1028.00,720.00,north
32,6.20,118.66,138.91,1064.00,668.00,north
33,6.40,118.20,143.10,996.00,740.00,north
34,6.60,116.44,145.73,988.00,616.00,north
35,6.80,112.28,147.24,952.00,572.00,north
36,7.00,108.86,149.21,972.00,540.00,north
37,7.20,105.33,149.99,956.00,408.00,north
38,7.40,101.81,150.24,844.00,592.00,north
39,7.60,99.55,150.03,916.00,400.00,north
40,7.80,95.29,149.07,872.00,436.00,north
41,8.00,92.76,146.93,920.00,400.00,north
42,8.20,89.52,142.21,972.00,636.00,north
43,8.40,88.08,138.94,1016.00,500.00,north
44,8.60,86.81,133.80,1016.00,720.00,north
45,8.80,85.23,130.06,1020.00,596.00,north
46,9.00,83.87,124.41,1168.00,748.00,north
47,9.20,82.57,118.66,1040.00,808.00,north
48,9.40,81.13,112.71,1064.00,816.00,west
49,9.60,79.26,107.13,984.00,736.00,west
50,9.80,77.15,99.76,1028.00,852.00,west
51,10.00,75.53,92.21,1040.00,812.00,west
52,10.20,72.17,82.59,1012.00,956.00,west
53,10.40,68.71,74.93,1004.00,768.00,west
54,10.60,65.17,67.30,916.00,736.00,south
55,10.80,59.22,57.22,920.00,820.00,south
56,11.00,53.77,48.80,832.00,640.00,south
57,11.20,47.41,39.97,820.00,660.00,south
58,11.40,40.11,30.70,804.00,712.00,south
59,11.60,32.49,21.86,768.00,596.00,south
60,11.80,22.44,11.54,748.00,596.00,south
61,12.00,15.34,4.60,608.00,452.00,s ext
62,12.20,15.34,4.60,644.00,164.00,s ext
63,12.40,20.18,8.70,616.00,316.00,s ext
64,12.60,19.34,8.58,616.00,312.00,s ext
65,12.80,11.23,2.91,552.00,384.00,s ext
66,13.00,6.48,0.01,640.00,528.00,s ext
67,13.20,4.44,-0.76,700.00,508.00,s ext
