Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0005\data\track_00019.trk
Object,0
Samples,450
treatment,4,
cage,33,
mark,1,
id,53,
trial,1,
date,2009-07-29 10:19:28.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,-13.34,213.52,148.00,112.00,n ext
2,0.20,-10.78,211.24,88.00,108.00,n ext
3,0.40,-19.50,219.94,220.00,196.00,n ext
4,0.60,-21.56,222.33,236.00,240.00,n ext
5,0.80,-17.43,218.65,320.00,276.00,n ext
6,1.00,-11.91,213.91,304.00,392.00,n ext
7,1.20,-6.25,208.71,428.00,364.00,n ext
8,1.40,1.88,201.65,468.00,424.00,n ext
9,1.60,9.77,195.43,628.00,384.00,n ext
10,1.80,18.67,188.48,600.00,372.00,north
11,2.00,27.04,181.75,732.00,388.00,north
12,2.20,33.75,176.26,752.00,476.00,north
13,2.40,39.21,172.19,744.00,360.00,north
14,2.60,46.93,165.42,788.00,476.00,north
15,2.80,52.54,161.06,816.00,372.00,north
16,3.00,59.97,156.24,896.00,464.00,north
17,3.20,66.49,151.49,948.00,468.00,north
18,3.40,73.51,147.00,900.00,584.00,north
19,3.60,79.81,141.81,920.00,636.00,north
20,3.80,85.69,136.49,940.00,636.00,north
21,4.00,90.21,131.08,992.00,724.00,north
22,4.20,94.81,126.10,1036.00,740.00,north
23,4.40,98.86,120.90,1048.00,756.00,north
24,4.60,102.93,116.65,1080.00,832.00,north
25,4.80,106.62,112.53,1040.00,824.00,north
26,5.00,111.38,108.00,1052.00,948.00,east
27,5.20,116.67,103.85,1036.00,920.00,east
28,5.40,121.46,99.72,996.00,736.00,east
29,5.60,127.23,94.89,1044.00,912.00,east
30,5.80,133.75,88.10,948.00,840.00,east
31,6.00,140.21,80.87,964.00,768.00,east
32,6.20,147.16,73.34,916.00,664.00,east
33,6.40,153.72,65.96,852.00,632.00,east
34,6.60,160.15,57.86,880.00,620.00,east
35,6.80,165.12,52.09,816.00,448.00,east
36,7.00,172.06,44.85,792.00,472.00,east
