Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0002\data\track_00071.trk
Object,0
Samples,267
treatment,1,
cage,43,
mark,2,
id,83,
trial,7,
date,2009-07-27 12:12:26.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,220.72,228.10,484.00,348.00,n ext,198.13,-
2,0.20,215.70,222.75,460.00,232.00,n ext,190.90,7.34
3,0.40,218.86,226.11,548.00,328.00,n ext,195.45,4.62
4,0.60,216.15,223.19,508.00,280.00,n ext,191.53,3.99
5,0.80,210.42,217.09,460.00,400.00,n ext,183.30,8.37
6,1.00,208.76,215.08,536.00,348.00,n ext,180.78,2.60
7,1.20,206.25,212.33,620.00,268.00,n ext,177.13,3.73
8,1.40,200.85,206.08,628.00,336.00,e ext,169.09,8.26
9,1.60,196.66,201.11,704.00,388.00,e ext,162.78,6.50
10,1.80,191.35,194.89,724.00,292.00,east,154.85,8.17
11,2.00,187.13,190.02,692.00,320.00,east,148.61,6.44
12,2.20,184.30,186.54,624.00,228.00,east,144.31,4.49
13,2.40,180.37,181.95,656.00,392.00,east,138.50,6.04
14,2.60,175.93,176.44,656.00,376.00,east,131.79,7.07
15,2.80,171.26,171.17,704.00,344.00,east,125.04,7.05
16,3.00,165.19,164.23,792.00,384.00,east,116.28,9.22
17,3.20,160.54,158.63,788.00,420.00,east,109.48,7.28
18,3.40,156.19,153.34,784.00,412.00,east,103.16,6.84
19,3.60,153.46,149.98,768.00,424.00,east,99.20,4.33
20,3.80,151.38,146.53,796.00,524.00,east,95.84,4.03
21,4.00,149.98,142.85,788.00,360.00,east,93.06,3.93
22,4.20,148.17,139.48,732.00,512.00,east,90.09,3.83
23,4.40,146.48,136.15,740.00,568.00,east,87.33,3.73
24,4.60,141.36,129.16,868.00,576.00,east,80.25,8.66
25,4.80,135.37,122.12,964.00,720.00,east,72.51,9.25
26,5.00,130.00,115.23,948.00,800.00,east,65.80,8.73
27,5.20,124.64,108.33,956.00,864.00,east,59.55,8.74
28,5.40,120.54,102.44,896.00,788.00,east,55.14,7.17
29,5.60,116.92,96.47,980.00,828.00,east,51.73,6.98
30,5.80,112.90,90.93,976.00,940.00,south,48.44,6.85
31,6.00,109.32,86.30,912.00,864.00,south,46.10,5.85
32,6.20,104.81,81.68,968.00,840.00,south,43.46,6.46
