Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00070.trk
Object,0
Samples,175
treatment,1,
cage,43,
mark,2,
id,83,
trial,10,
date,2009-07-28 12:02:28.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,108.04,13.85,428.00,240.00,s ext,92.60,-
2,0.20,104.23,15.07,436.00,304.00,s ext,89.62,4.00
3,0.40,105.47,17.00,532.00,336.00,s ext,88.58,2.29
4,0.60,103.07,20.04,560.00,372.00,south,84.74,3.87
5,0.80,106.14,20.86,576.00,248.00,south,85.63,3.18
6,1.00,107.25,22.70,544.00,264.00,south,84.64,2.15
7,1.20,107.78,26.42,592.00,440.00,south,81.82,3.76
8,1.40,108.50,29.12,628.00,308.00,south,80.02,2.80
9,1.60,110.30,32.57,688.00,428.00,south,78.34,3.89
10,1.80,110.86,35.15,700.00,284.00,south,76.68,2.65
11,2.00,109.81,38.70,708.00,416.00,south,73.29,3.70
12,2.20,110.83,39.46,760.00,396.00,south,73.40,1.26
13,2.40,110.31,41.19,772.00,300.00,south,71.77,1.81
14,2.60,108.38,43.86,680.00,524.00,south,68.50,3.29
15,2.80,107.73,46.36,700.00,260.00,south,66.23,2.58
16,3.00,107.12,48.81,792.00,404.00,south,64.05,2.53
17,3.20,104.55,50.51,804.00,668.00,south,61.04,3.08
18,3.40,102.09,52.11,804.00,344.00,south,58.18,2.94
19,3.60,98.76,52.81,864.00,348.00,south,55.40,3.40
20,3.80,94.42,53.27,828.00,412.00,south,52.25,4.37
21,4.00,91.19,54.38,828.00,368.00,south,49.41,3.41
22,4.20,88.02,53.88,792.00,484.00,south,48.02,3.22
23,4.40,85.88,53.47,828.00,508.00,south,47.24,2.17
24,4.60,83.56,51.53,748.00,568.00,south,47.71,3.03
25,4.80,83.39,50.03,788.00,432.00,south,48.94,1.51
26,5.00,84.30,48.00,776.00,644.00,south,51.16,2.23
27,5.20,88.91,48.03,876.00,308.00,south,53.46,4.61
28,5.40,92.39,48.47,800.00,316.00,south,54.94,3.50
29,5.60,95.77,49.55,756.00,580.00,south,56.02,3.55
30,5.80,97.85,51.23,736.00,356.00,south,56.01,2.67
31,6.00,98.76,52.81,724.00,340.00,south,55.40,1.83
32,6.20,98.58,54.33,704.00,276.00,south,54.16,1.53
33,6.40,97.32,56.51,716.00,636.00,south,51.71,2.52
34,6.60,95.21,57.80,748.00,256.00,south,49.32,2.48
35,6.80,93.20,58.30,800.00,268.00,south,47.60,2.07
36,7.00,91.22,58.74,776.00,376.00,south,45.99,2.03
37,7.20,89.34,60.54,816.00,432.00,south,43.40,2.60
38,7.40,85.86,63.21,876.00,452.00,south,39.15,4.38
39,7.60,82.62,64.96,936.00,516.00,south,35.81,3.69
40,7.80,79.75,67.23,908.00,476.00,south,32.32,3.66
41,8.00,77.65,68.33,860.00,424.00,south,30.26,2.37
42,8.20,76.31,69.04,820.00,672.00,south,28.97,1.52
43,8.40,73.17,68.30,872.00,532.00,south,28.01,3.22
44,8.60,69.82,66.70,744.00,616.00,south,28.12,3.71
45,8.80,67.63,64.37,792.00,464.00,south,29.58,3.20
46,9.00,65.67,60.94,872.00,432.00,south,32.37,3.95
47,9.20,64.50,57.95,836.00,564.00,south,35.07,3.21
48,9.40,65.23,55.97,864.00,420.00,south,37.15,2.11
49,9.60,66.77,53.72,836.00,420.00,south,39.66,2.73
50,9.80,68.53,51.41,816.00,436.00,south,42.31,2.91
51,10.00,69.93,50.06,804.00,348.00,south,43.96,1.94
52,10.20,73.49,48.70,724.00,600.00,south,46.31,3.82
53,10.40,74.44,48.32,788.00,296.00,south,46.98,1.02
54,10.60,79.86,48.47,816.00,388.00,south,48.80,5.43
55,10.80,83.22,48.52,800.00,384.00,south,50.20,3.35
56,11.00,87.84,50.15,716.00,516.00,south,51.10,4.90
57,11.20,91.20,51.40,808.00,324.00,south,51.85,3.59
58,11.40,93.34,53.16,748.00,372.00,south,51.68,2.78
59,11.60,96.31,56.43,748.00,488.00,south,51.07,4.41
60,11.80,98.18,58.04,784.00,308.00,south,51.20,2.47
61,12.00,99.79,61.05,776.00,616.00,south,50.32,3.41
62,12.20,104.17,62.58,796.00,588.00,south,52.72,4.65
63,12.40,107.78,62.46,876.00,576.00,south,55.60,3.61
64,12.60,111.57,61.42,776.00,612.00,south,59.26,3.93
65,12.80,114.77,59.52,788.00,492.00,south,62.96,3.72
