Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00031.trk,,,,,,
Object,0,,,,,,
Samples,279,,,,,,
id,93,,,,,,
trial,3,,,,,,
date,49:03.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,14.07,162.87,196,348,w ext,51.04
2,0.2,11,157.25,236,392,w ext,48.23
3,0.4,9.51,149.83,236,392,w ext,43.74
4,0.6,7.92,141.26,264,364,w ext,39.55
5,0.8,7.05,132.31,260,364,w ext,35.68
6,1,8.67,123.86,292,360,w ext,31.35
7,1.2,11.97,116.41,288,308,w ext,26.94
8,1.4,16.04,108.26,352,416,west,23.36
9,1.6,20.04,100.51,364,428,west,21.95
10,1.8,24.83,93.18,396,488,west,22.19
11,2,30.34,85.44,376,492,west,24.82
12,2.2,34.98,78.91,408,568,west,28.84
13,2.4,37.89,71.48,388,548,west,35.36
14,2.6,38.29,63.61,400,572,west,43.01
15,2.8,38.49,53.79,420,604,west,52.69
16,3,37.81,44.4,436,520,west,62.08
17,3.2,36.93,33.74,404,584,s ext,72.78
18,3.4,36.01,23.69,360,508,s ext,82.87
19,3.6,34.28,14.96,272,368,s ext,91.74
20,3.8,34.85,12.2,240,272,s ext,94.41
21,4,37.44,12.45,156,284,s ext,93.91
22,4.2,40.59,9.95,188,272,s ext,96.19
23,4.4,44.92,10.99,248,372,s ext,95.02
24,4.6,50.81,11.68,280,368,s ext,94.37
25,4.8,58.51,15.82,392,400,s ext,90.85
26,5,63.59,19.57,372,396,s ext,87.91
27,5.2,67.89,25.56,428,424,south,82.9
28,5.4,72.06,31.18,512,444,south,78.54
29,5.6,75.37,37.15,664,480,south,73.94
30,5.8,79.36,44.61,668,628,south,68.67
31,6,81.74,51.42,672,612,south,63.8
32,6.2,84.06,59.46,656,608,south,58.3
33,6.4,85.58,67.84,564,612,south,52.52
34,6.6,84.19,75.72,480,612,south,45.8
35,6.8,81.35,81.22,504,504,south,39.93
36,7,76.33,86.57,520,568,west,32.63
37,7.2,71.98,92.02,552,568,west,25.78
38,7.4,66.12,98.25,512,616,west,17.35
39,7.6,61.66,105.48,488,568,west,9.64
40,7.8,58.59,113.68,508,588,west,4.83
41,8,55.45,122.12,448,564,west,5.31
42,8.2,53.75,129.88,436,508,west,10.55
43,8.4,54.2,138.23,372,512,west,18.53
44,8.6,55.44,144.15,464,412,west,24.57
45,8.8,57.37,150.73,460,476,west,31.43
46,9,57.79,157.68,412,480,west,38.19
47,9.2,56.77,163.48,364,384,north,43.56
48,9.4,52.82,167.77,340,320,north,47.12
49,9.6,48.12,171.69,348,328,west,50.59
50,9.8,42,173.85,324,376,w ext,52.78
51,10,33.5,177.34,224,476,w ext,57.23
52,10.2,29.05,175.77,252,308,w ext,56.65
53,10.4,25.44,171.97,240,316,w ext,54.07
54,10.6,22.61,166.79,240,304,w ext,50.32
55,10.8,21.34,159.91,296,344,w ext,44.76
56,11,20.04,152.03,352,384,w ext,38.7
57,11.2,17.85,142.39,364,500,w ext,32.58
58,11.4,15.48,133.44,404,480,w ext,28.94
59,11.6,12.92,122.23,376,524,w ext,26.85
60,11.8,10.15,112.58,332,460,w ext,28.72
61,12,6.42,105.62,284,400,w ext,33.3
62,12.2,2.72,102.55,256,308,w ext,37.53
63,12.4,0.02,102.58,228,156,w ext,40.16
64,12.6,0.92,102.57,156,80,w ext,39.28
65,12.8,2.72,102.55,104,92,w ext,37.53
66,13,3.52,100.42,84,108,w ext,37.31
67,13.2,4.31,98.31,96,108,w ext,37.22
68,13.4,3.41,98.3,152,96,w ext,38.07
69,13.6,4.02,93.02,128,232,w ext,39.61
70,13.8,3.71,87.68,152,224,w ext,42.56
71,14,6.01,81.58,216,288,w ext,44.05
72,14.2,6.55,76.39,320,272,w ext,47
73,14.4,7.64,67.13,320,376,w ext,53
74,14.6,9.68,59.24,332,388,w ext,58.1
75,14.8,12.69,52.82,248,356,w ext,61.87
76,15,16.59,46.89,208,360,w ext,65.38
77,15.2,22.64,45.93,184,320,w ext,64.02
78,15.4,27.09,47.44,216,224,west,61.27
79,15.6,30.74,50.53,256,280,west,57.37
80,15.8,35.37,56.55,336,392,west,50.49
81,16,35.85,63.93,360,448,west,43.17
82,16.2,34.39,67.2,384,336,west,40.3
83,16.4,30.35,69.07,440,312,west,39.64
84,16.6,25.35,69.9,428,388,west,40.82
85,16.8,19.33,69.63,428,376,west,44.07
86,17,12.2,68.12,368,460,w ext,49.43
87,17.2,5.7,65.64,320,336,w ext,55.38
88,17.4,1.77,62.56,208,200,w ext,60.28
89,17.6,2.61,61.68,156,140,w ext,60.41
90,17.8,4.39,61.04,120,156,w ext,59.79
91,18,3.14,57.47,144,96,w ext,63.39
92,18.2,3.98,56.62,188,116,w ext,63.57
93,18.4,4.6,53.55,188,200,w ext,65.69
94,18.6,5.44,52.72,196,160,w ext,65.87
95,18.8,7.11,51.09,240,220,w ext,66.27
96,19,6.67,46.66,220,212,w ext,70.24
97,19.2,8.22,43.99,268,272,w ext,71.76
98,19.4,9.64,40.24,232,348,w ext,74.38
99,19.6,12.01,36.9,220,388,w ext,76.36
100,19.8,12.47,32.86,228,232,w ext,79.88
101,20,14.82,29.63,192,308,w ext,82.02
102,20.2,15.39,26.72,140,180,w ext,84.56
103,20.4,16.21,26.03,132,96,w ext,84.94
104,20.6,17.27,27.55,124,64,w ext,83.16
105,20.8,18.21,27.96,132,48,w ext,82.48
106,21,17.27,27.55,152,60,w ext,83.16
107,21.2,17.39,28.65,268,156,w ext,82.08
108,21.4,15.76,30.03,232,212,w ext,81.31
109,21.6,15.99,32.22,228,244,w ext,79.18
110,21.8,13.29,32.15,176,148,w ext,80.23
111,22,11.52,32.47,176,120,w ext,80.61
112,22.2,10.82,34.31,180,108,w ext,79.22
113,22.4,11.89,35.8,164,112,w ext,77.42
114,22.6,11.89,35.8,132,72,w ext,77.42
115,22.8,13.41,33.25,132,168,w ext,79.16
116,23,15.18,32.93,192,180,w ext,78.81
117,23.2,14.94,30.73,192,120,w ext,80.94
118,23.4,15.51,27.83,216,232,w ext,83.47
119,23.6,16.08,24.92,184,232,w ext,86.03
120,23.8,17.72,23.57,132,180,w ext,86.81
121,24,20.29,22.66,140,184,w ext,86.96
122,24.2,21.79,20.25,204,240,w ext,88.91
123,24.4,22.48,18.5,212,192,s ext,90.44
124,24.6,22.23,16.29,208,100,s ext,92.64
125,24.8,25.14,18.73,140,164,s ext,89.61
126,25,25.26,19.82,80,84,s ext,88.53
127,25.2,23.41,18.94,120,80,s ext,89.8
128,25.4,22.72,20.68,244,196,w ext,88.26
129,25.6,21.1,22,252,232,w ext,87.38
130,25.8,19.47,23.33,228,208,w ext,86.54
131,26,17.15,26.45,212,264,w ext,84.24
132,26.2,15.64,28.93,204,264,w ext,82.39
133,26.4,15.06,31.83,244,248,w ext,79.87
134,26.6,12.59,33.97,248,252,w ext,78.81
135,26.8,11.3,38.74,264,344,w ext,74.99
136,27,9.05,43.21,284,364,w ext,72.03
137,27.2,6.89,48.89,284,336,w ext,68.24
138,27.4,5.55,53.83,264,348,w ext,64.9
139,27.6,4.29,59.94,280,352,w ext,60.72
140,27.8,3.19,68.31,280,384,w ext,55.07
141,28,1.95,75.64,292,420,w ext,50.94
142,28.2,0.74,84.16,268,416,w ext,46.93
143,28.4,1.3,92.87,296,404,w ext,42.12
144,28.6,0.92,102.57,276,420,w ext,39.28
145,28.8,2.15,110.03,332,408,w ext,36.86
146,29,2.5,120.62,256,420,w ext,36.82
147,29.2,3.57,129.93,268,404,w ext,37.97
148,29.4,5.37,137.84,232,380,w ext,39.82
149,29.6,7.05,145.58,244,356,w ext,42.79
150,29.8,8.6,154.17,192,396,w ext,47.48
151,30,10.98,158.25,232,368,w ext,49.04
152,30.2,13.26,163.22,232,360,w ext,51.77
153,30.4,15.51,167.08,236,388,w ext,53.9
154,30.6,18.43,172.42,232,372,w ext,57.2
155,30.8,21.37,175.72,200,360,w ext,59.02
156,31,25.73,180.07,212,372,w ext,61.69
157,31.2,29.31,183.8,188,336,w ext,64.39
158,31.4,32.91,186.57,172,288,w ext,66.43
159,31.6,35.77,188.8,140,248,w ext,68.26
160,31.8,40.13,191.29,104,236,n ext,70.3
161,32,44.68,191.12,128,224,n ext,69.94
162,32.2,48.45,191.4,172,252,n ext,70.3
163,32.4,53.74,192.19,212,304,n ext,71.51
164,32.6,60.59,193.72,200,324,n ext,73.96
165,32.8,65.89,197.89,156,284,n ext,79.14
166,33,69.79,199.9,100,200,n ext,82.08
167,33.2,73.81,199.31,60,104,n ext,82.68
168,33.4,-,-,-,-,-,-
169,33.6,-,-,-,-,-,-
170,33.8,-,-,-,-,-,-
171,34,-,-,-,-,-,-
172,34.2,-,-,-,-,-,-
173,34.4,-,-,-,-,-,-
174,34.6,-,-,-,-,-,-
175,34.8,-,-,-,-,-,-
176,35,133.6,211.3,108,-,n ext,123.84
177,35.2,141.71,212.95,80,180,n ext,130.55
178,35.4,147.75,211.89,144,208,n ext,134.06
179,35.6,152.04,211.08,144,216,n ext,136.63
180,35.8,156.97,208.67,136,224,n ext,138.7
181,36,161.87,206.31,168,240,n ext,140.96
182,36.2,167.73,204.5,188,308,n ext,144.5
183,36.4,172.61,202.16,200,284,n ext,147.09
184,36.6,178.25,199.18,236,316,n ext,150.14
185,36.8,184.32,198.41,180,296,e ext,154.83
186,37,188.96,194.66,212,304,e ext,156.86
187,37.2,191.59,189.69,252,328,e ext,156.74
188,37.4,194.2,184.58,244,320,e ext,156.74
189,37.6,195.59,177.67,236,336,e ext,155.1
190,37.8,196.97,170.65,232,324,e ext,153.73
191,38,198.35,163.5,260,324,e ext,152.64
192,38.2,198.37,153.51,236,344,e ext,149.83
193,38.4,198.83,145.82,292,320,e ext,148.55
194,38.6,198.02,135.48,244,344,e ext,145.87
195,38.8,196.56,126.17,240,300,e ext,143.34
196,39,195.93,115.92,296,312,e ext,142.2
197,39.2,194.37,104.48,292,404,e ext,140.83
198,39.4,192.52,96.57,320,308,e ext,139.65
199,39.6,191.95,84.14,248,392,e ext,141.02
200,39.8,191.14,76.27,232,288,e ext,141.91
201,40,189.49,67.5,204,356,e ext,142.7
202,40.2,186.72,63.72,204,352,e ext,141.27
203,40.4,183.88,57.92,256,372,e ext,140.65
204,40.6,181.09,51.24,276,372,e ext,140.75
205,40.8,176.99,46.44,344,452,e ext,139.19
206,41,172.28,41.18,280,432,e ext,137.59
207,41.2,168.47,35.83,288,360,e ext,137.15
208,41.4,164.82,31.65,264,336,e ext,136.41
209,41.6,161.27,28.56,216,344,e ext,135.29
210,41.8,159.18,25.77,200,184,e ext,135.28
211,42,157.11,24.93,212,260,e ext,134.17
212,42.2,154.37,26.33,212,192,e ext,131.15
213,42.4,152.31,30.13,288,188,e ext,127.19
214,42.6,149.58,35,256,256,e ext,122.05
215,42.8,148.21,39.14,244,220,east,118.5
216,43,146.17,45.15,276,256,east,113.4
217,43.2,143.45,51.15,364,352,east,107.83
218,43.4,140.06,57.86,448,436,east,101.37
219,43.6,136.67,64.22,536,480,east,95.25
220,43.8,133.29,71.03,584,552,east,89.09
221,44,130.61,78.21,624,560,east,83.68
222,44.2,127.96,86.59,560,664,east,78.28
223,44.4,126.72,94.68,536,576,east,74.99
224,44.6,126.18,101.23,548,556,east,73.26
225,44.8,127.15,109.28,532,640,east,73.44
226,45,128.94,117.53,532,608,east,75.28
227,45.2,131.65,126.89,472,604,east,78.98
228,45.4,133.69,134.94,560,552,east,82.58
229,45.6,137.59,145.31,440,632,north,89.25
230,45.8,141.79,156.37,452,604,north,97.29
231,46,146.01,165.48,424,524,north,105.13
232,46.2,153.14,176.27,364,524,north,116.67
233,46.4,160.6,187.09,340,432,n ext,128.75
234,46.6,168,195.66,296,372,n ext,139.62
235,46.8,174.37,202.12,160,288,n ext,148.52
236,47,177.53,204.94,112,112,n ext,152.72
237,47.2,-,-,-,-,-,-
238,47.4,178.31,204.35,72,-,n ext,153.03
239,47.6,176.74,205.52,76,84,n ext,152.41
240,47.8,176.17,207.25,108,80,n ext,152.93
241,48,173.4,206.68,180,184,n ext,150.36
242,48.2,170.85,207.27,204,192,n ext,148.65
243,48.4,165.93,209.56,196,256,n ext,146.17
244,48.6,161.61,210.19,180,232,n ext,143.22
245,48.8,155.38,209.83,192,268,n ext,138.26
246,49,149.04,208.55,192,304,n ext,132.71
247,49.2,139.88,205.19,192,328,n ext,123.74
248,49.4,134.52,203.85,204,252,n ext,119.01
249,49.6,125.65,201.4,216,348,n ext,111.17
250,49.8,116.23,201.25,180,356,n ext,104.99
251,50,112.03,202.02,128,204,n ext,103.04
252,50.2,-,-,-,-,-,-
253,50.4,-,-,-,-,-,-
254,50.6,-,-,-,-,-,-
255,50.8,-,-,-,-,-,-
256,51,92.59,199.77,84,-,n ext,90.49
257,51.2,90.06,195.92,200,188,n ext,85.9
258,51.4,86.77,192.21,276,252,n ext,81.07
259,51.6,82.77,186.94,320,300,n ext,74.55
260,51.8,78.89,181.96,300,356,north,68.37
261,52,74.37,175.66,352,388,north,60.75
262,52.2,69.22,169.81,344,432,north,53.34
263,52.4,65.69,164,360,432,north,46.63
264,52.6,62.31,155.98,372,500,north,37.94
265,52.8,60.42,148.62,448,476,west,30.39
266,53,58.54,140.56,456,552,west,22.25
267,53.2,56.62,132.54,420,556,west,14.26
268,53.4,53.94,123.01,392,596,west,5.04
269,53.6,52.53,119.33,400,328,west,1.3
270,53.8,50.32,117.2,496,368,platform,0
271,54,49.59,115.7,476,172,platform,0
272,54.2,50.34,115.65,484,128,platform,0
273,54.4,48.83,115.75,472,172,platform,0
274,54.6,48.84,114.97,460,132,platform,0
275,54.8,48.84,114.97,472,108,platform,0
276,55,48.84,114.97,496,184,platform,0
277,55.2,48.85,114.19,432,184,platform,0
278,55.4,48.85,114.19,488,160,platform,0
