Track file,I:\Rat Navigation Data\exp nesté 1morris_0003\data\track_00042.trk,,,,,,,
Object,0,,,,,,,
Samples,66,,,,,,,
id,95,,,,,,,
trial,2,,,,,,,
date,17:09.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,95.72,20.74,348,212,s ext,97.39,-
2,0.2,96.51,23.45,296,228,south,95.39,2.83
3,0.4,96.55,26.07,408,224,south,93.15,2.62
4,0.6,95.87,28.6,420,284,south,90.63,2.62
5,0.8,95.2,31.94,424,260,south,87.42,3.41
6,1,93.8,35.17,464,272,south,83.95,3.51
7,1.2,92.38,36.69,484,188,south,81.9,2.08
8,1.4,91.69,39.09,476,176,south,79.51,2.49
9,1.6,90.27,40.56,480,196,south,77.5,2.05
10,1.8,88.84,42.02,440,440,south,75.51,2.04
11,2,87.4,42.64,476,396,south,74.23,1.57
12,2.2,87.4,42.64,448,284,south,74.23,0
13,2.4,84.47,42.22,444,340,south,73.14,2.97
14,2.6,84.49,43.03,424,292,south,72.43,0.82
15,2.8,83.03,43.62,368,392,south,71.22,1.57
16,3,82.33,45.12,444,196,south,69.57,1.66
17,3.2,80.95,48.91,480,324,south,65.58,4.03
18,3.4,81.06,53.67,496,328,south,61.51,4.76
19,3.6,81.18,60.63,496,448,south,55.73,6.96
20,3.8,81.27,67.41,488,456,south,50.19,6.78
21,4,80.61,74.69,468,460,south,44.09,7.31
22,4.2,80.63,81.17,484,440,south,39.45,6.48
23,4.4,79.91,87.51,500,424,west,34.82,6.38
24,4.6,79.17,92.38,480,388,west,31.47,4.93
25,4.8,77.7,97.91,504,416,west,27.35,5.72
26,5,76.21,102.76,464,408,west,24.07,5.07
27,5.2,74.75,104.83,480,344,west,22.07,2.54
28,5.4,73.99,107.62,456,352,west,20.77,2.9
29,5.6,74.69,109.02,344,368,west,21.18,1.56
30,5.8,70.36,109.04,488,408,west,16.92,4.32
31,6,67.49,106.92,452,356,west,14.52,3.57
32,6.2,66.08,103.32,444,304,west,14.55,3.87
33,6.4,64.65,98.93,468,344,west,15.76,4.61
34,6.6,63.93,93.76,444,376,west,18.75,5.22
35,6.8,63.93,90.06,468,392,west,21.67,3.7
36,7,63.15,84.77,444,408,west,25.64,5.35
37,7.2,62.36,81.66,456,404,west,27.93,3.2
38,7.4,60.05,78.32,448,352,west,30.02,4.07
39,7.6,59.24,75.87,452,348,west,32.06,2.57
40,7.8,56.89,73.15,388,376,west,34.05,3.6
41,8,53.74,71.02,376,324,west,35.53,3.8
42,8.2,51.36,69.78,352,272,west,36.42,2.68
43,8.4,48.96,68.49,364,300,west,37.53,2.73
44,8.6,45.77,67.85,324,328,west,38.15,3.26
45,8.8,43.39,68.22,368,284,west,37.85,2.41
46,9,41.04,69.47,352,336,west,36.81,2.66
47,9.2,38.67,70.75,384,336,west,35.91,2.69
48,9.4,38.1,75.89,376,352,west,31.01,5.17
49,9.6,37.5,81.01,416,328,west,26.15,5.16
50,9.8,37.71,87.07,384,336,west,20.23,6.07
51,10,38.68,93.12,364,316,west,14.19,6.12
52,10.2,38.73,95.65,372,224,west,11.82,2.54
53,10.4,39.58,99.04,364,216,west,8.4,3.49
54,10.6,41.18,101.56,336,308,west,5.43,2.98
55,10.8,41.97,103.21,408,264,west,3.6,1.83
56,11,42.76,105.65,392,216,west,1.11,2.57
57,11.2,44.31,107.24,384,248,platform,0,2.22
58,11.4,45.85,109.6,404,252,platform,0,2.81
59,11.6,45.85,109.6,428,104,platform,0,0
60,11.8,45.84,110.4,424,116,platform,0,0.8
61,12,47.37,111.12,408,192,platform,0,1.69
62,12.2,47.36,111.91,420,156,platform,0,0.79
63,12.4,47.36,111.91,420,104,platform,0,0
64,12.6,48.13,111.09,408,196,platform,0,1.13
65,12.8,48.89,111.06,416,216,platform,0,0.76
66,13,48.12,111.88,388,172,platform,0,1.12
