Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0001\data\track_00016.trk,,,,,,,
Object,0,,,,,,,
Samples,450,,,,,,,
id,52,,,,,,,
trial,4,,,,,,,
date,56:13.0,yyyy-MM-dd HH:mm:ss,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:30.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00016.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,56:42.9,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,58:12.9,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0,-,-,-,-,-,-,-
2,0.2,195.67,163.55,72,-,e ext,-,150.11
3,0.4,194.81,168.64,108,172,e ext,5.16,151
4,0.6,191.38,169.33,220,264,e ext,3.5,148.04
5,0.8,188.17,171.11,264,284,e ext,3.67,145.71
6,1,183.07,171.98,292,332,e ext,5.17,141.35
7,1.2,179.13,174.28,356,312,e ext,4.56,138.69
8,1.4,173.15,174.58,412,392,e ext,5.98,133.43
9,1.6,165.26,173.04,344,484,east,8.04,125.69
10,1.8,157.24,169.72,388,468,north,8.68,117.04
11,2,151.89,166.74,420,416,north,6.12,110.92
12,2.2,144.66,160.69,464,516,north,9.43,101.73
13,2.4,138.43,154.55,484,532,north,8.74,93.48
14,2.6,131.65,148.71,544,612,north,8.95,84.93
15,2.8,125.03,141.81,572,644,north,9.56,76.25
16,3,120.16,134.96,640,660,north,8.41,69.5
17,3.2,116.93,127.95,668,708,north,7.72,64.72
18,3.4,113.09,120.44,740,744,north,8.43,59.7
19,3.6,110.1,112.57,760,820,east,8.42,56.33
20,3.8,106.52,105.54,784,736,east,7.89,53.19
21,4,104.42,97.98,792,816,east,7.85,52.51
22,4.2,103.05,90.43,804,804,south,7.67,53.53
23,4.4,103.07,82.84,752,828,south,7.59,56.84
24,4.6,105.17,75.13,796,772,south,7.99,62.67
25,4.8,108.63,69.36,600,636,south,6.73,68.74
26,5,112.76,64.82,624,656,south,6.13,74.73
27,5.2,118.92,62.14,600,536,south,6.72,81.31
28,5.4,125.05,59.12,556,588,south,6.83,88.08
29,5.6,131.86,56.41,584,628,east,7.32,95.25
30,5.8,139.35,53.1,496,632,east,8.19,103.33
31,6,145.51,51.4,556,532,east,6.4,109.42
32,6.2,152.42,49.18,508,600,east,7.25,116.45
33,6.4,158.71,46.9,512,548,e ext,6.69,123
34,6.6,166.57,45.68,484,580,e ext,7.95,130.39
35,6.8,173.98,46.65,408,612,e ext,7.48,136.42
36,7,180.15,48.35,336,488,e ext,6.4,141.15
37,7.2,182.68,51.72,284,356,e ext,4.22,141.99
38,7.4,183.8,56.84,156,312,e ext,5.24,140.99
39,7.6,184.19,62.24,172,232,e ext,5.41,139.39
40,7.8,183.82,67.82,240,212,e ext,5.6,137.21
41,8,182.68,73.5,352,336,e ext,5.8,134.45
42,8.2,181.04,82.3,416,456,e ext,8.95,130.7
43,8.4,179.42,90.81,440,488,e ext,8.66,127.49
44,8.6,176.21,99.06,448,544,east,8.86,123.16
45,8.8,172.09,105.88,472,568,east,7.96,118.5
46,9,166.18,110.27,476,572,east,7.36,112.43
47,9.2,160.21,113.4,500,568,east,6.74,106.45
48,9.4,151.97,116.02,572,664,east,8.65,98.24
49,9.6,143.81,118.38,552,740,east,8.49,90.17
50,9.8,134.94,119.68,592,728,east,8.97,81.39
51,10,126.14,120.21,644,788,east,8.82,72.66
52,10.2,117.41,120.09,624,796,east,8.73,63.96
53,10.4,108.78,120.83,648,760,north,8.66,55.47
54,10.6,100.19,120.35,692,852,north,8.61,46.88
55,10.8,92.33,121.47,712,812,north,7.94,39.32
56,11,83.03,122.11,676,876,west,9.32,30.34
57,11.2,74.38,123.74,676,840,west,8.8,22.47
58,11.4,64.92,125.01,632,804,west,9.54,14.7
59,11.6,56.09,125.82,616,768,west,8.87,8.55
60,11.8,46.32,127.79,500,804,west,9.96,6.69
61,12,37.91,128.25,556,680,west,8.42,9.08
62,12.2,30.08,129.59,552,636,west,7.95,14.88
63,12.4,22.06,131.11,524,668,west,8.17,22.16
64,12.6,13.82,131.86,420,584,w ext,8.27,29.49
65,12.8,7.9,131.11,372,472,w ext,5.97,34.41
66,13,4.42,128.72,296,316,w ext,4.22,36.77
67,13.2,4.35,124.55,220,332,w ext,4.16,35.72
68,13.4,6.84,119.01,224,404,w ext,6.08,32.28
69,13.6,9.29,112.64,328,392,w ext,6.82,29.59
70,13.8,12.56,106.44,420,436,w ext,7.02,27.11
71,14,15.79,100.48,464,476,west,6.77,25.77
72,14.2,19.76,92.89,468,508,west,8.57,26.26
73,14.4,22.87,86.5,456,492,west,7.11,28.37
74,14.6,26.74,79.51,492,532,west,7.99,31.75
75,14.8,30.51,71.86,476,568,west,8.53,36.97
76,15,33.44,65.18,504,516,west,7.29,42.49
77,15.2,37.12,57.93,464,568,west,8.13,48.8
78,15.4,39.85,49.65,472,544,west,8.72,56.64
