Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00034.trk,,,,,,,
Object,0,,,,,,,
Samples,71,,,,,,,
id,60,,,,,,,
trial,2,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:14.200,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00034.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,08:39.8,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,08:54.0,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,84.96,10.87,236,256,s ext,101.92,-
2,0.2,87.12,7.54,256,228,s ext,105.8,3.97
3,0.4,88.62,6.87,320,208,s ext,106.96,1.64
4,0.6,89.42,7.97,204,236,s ext,106.25,1.35
5,0.8,99.18,9.16,204,408,s ext,109.24,9.83
6,1,101.4,10.21,360,204,s ext,109.35,2.46
7,1.2,102.89,12.11,488,176,s ext,108.41,2.41
8,1.4,107.24,13.02,456,312,s ext,109.85,4.44
9,1.6,110.11,15.61,492,292,s ext,109.23,3.87
10,1.8,112.94,18.08,484,280,s ext,108.75,3.75
11,2,115.03,21.4,512,308,s ext,107.26,3.92
12,2.2,117.1,24.62,516,284,south,105.94,3.83
13,2.4,118.46,27.86,504,340,south,104.28,3.52
14,2.6,119.11,32.84,540,348,south,100.94,5.02
15,2.8,119.75,37.73,544,348,south,97.82,4.92
16,3,119.03,42.71,588,364,south,93.78,5.04
17,3.2,117.63,48.46,556,368,south,88.82,5.91
18,3.4,116.92,53.21,608,388,south,85.15,4.8
19,3.6,115.52,59.43,600,504,south,80.16,6.38
20,3.8,114.13,64.01,624,408,south,76.32,4.78
21,4,112.75,69.94,656,464,south,71.85,6.1
22,4.2,110.67,75.76,664,544,south,66.96,6.18
23,4.4,107.91,81.45,708,516,south,61.74,6.33
24,4.6,104.44,87.01,712,556,south,56.17,6.55
25,4.8,100.95,93.13,772,652,south,50.61,7.05
26,5,96.74,98.47,748,608,south,44.96,6.8
27,5.2,93.2,104.48,744,636,west,40.21,6.98
28,5.4,88.9,110.5,708,692,west,35.18,7.39
29,5.6,85.26,117.29,708,648,west,31.69,7.71
30,5.8,83.02,122.81,668,568,west,30.48,5.96
31,6,80.72,129.83,708,576,north,30.74,7.39
32,6.2,78.41,135.59,668,552,north,31.77,6.2
33,6.4,76.79,142.18,616,500,north,34.59,6.79
34,6.6,75.17,147.44,600,440,north,37.32,5.51
35,6.8,73.58,151.33,616,392,north,39.42,4.2
36,7,71.97,155.29,620,332,north,41.7,4.28
37,7.2,70.38,158.57,588,312,north,43.68,3.65
38,7.4,69.49,162.59,564,320,north,46.84,4.12
39,7.6,67.89,165.21,500,256,north,48.58,3.07
40,7.8,66.28,167.88,528,372,north,50.49,3.12
41,8,64.74,168.98,536,376,north,51.02,1.9
42,8.2,62.46,169.44,504,312,north,50.8,2.32
43,8.4,59.51,168.48,504,304,north,49.06,3.11
44,8.6,56.65,165.93,544,352,north,45.93,3.83
45,8.8,54.55,163.23,504,304,north,42.88,3.42
46,9,52.49,159.74,504,328,west,39.12,4.05
47,9.2,51.94,155.88,560,336,west,35.22,3.9
48,9.4,51.38,152.04,520,280,west,31.34,3.88
49,9.6,50.82,148.22,524,292,west,27.48,3.86
50,9.8,50.21,145.2,524,264,west,24.41,3.08
51,10,50.34,142.04,444,296,west,21.28,3.17
52,10.2,50.46,138.88,520,260,west,18.19,3.15
53,10.4,49.83,135.88,540,236,west,15.12,3.07
54,10.6,49.88,134.31,536,244,west,13.59,1.57
55,10.8,50.71,131.85,456,224,west,11.41,2.6
56,11,51.53,129.41,492,228,west,9.33,2.57
57,11.2,51.58,127.87,464,212,west,7.86,1.55
58,11.4,51.64,125.55,560,304,west,5.73,2.32
59,11.6,51.7,123.24,556,204,west,3.83,2.31
60,11.8,51.75,120.93,540,232,west,2.04,2.31
61,12,51.01,120.23,552,260,west,1.02,1.02
62,12.2,49.54,118.81,592,208,platform,0,2.05
63,12.4,49.54,118.81,528,136,platform,0,0
64,12.6,50.31,117.97,532,204,platform,0,1.14
65,12.8,49.54,118.81,552,148,platform,0,1.14
66,13,48.04,118.16,596,244,platform,0,1.64
67,13.2,47.29,117.43,588,136,platform,0,1.04
68,13.4,47.29,117.43,588,160,platform,0,0
69,13.6,47.3,116.64,596,216,platform,0,0.79
70,13.8,48.06,116.59,576,220,platform,0,0.76
71,14,48.06,116.59,584,80,platform,0,0
