Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0001\data\track_00090.trk
Object,0
Samples,450
treatment,4,
cage,44,
mark,1,
id,76,
trial,2,
date,2009-07-26 16:00:32.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,211.69,215.08,448.00,364.00,e ext,183.14,-
2,0.20,203.96,202.86,408.00,344.00,e ext,169.76,14.45
3,0.40,197.65,192.23,444.00,300.00,e ext,158.59,12.36
4,0.60,189.84,179.35,448.00,364.00,e ext,145.19,15.07
5,0.80,181.96,166.09,536.00,392.00,east,131.90,15.43
6,1.00,174.59,154.29,420.00,420.00,east,120.19,13.91
7,1.20,169.53,148.85,480.00,364.00,east,113.41,7.43
8,1.40,163.27,143.67,488.00,432.00,east,105.68,8.13
9,1.60,157.34,141.67,560.00,504.00,east,99.43,6.26
10,1.80,149.80,138.45,560.00,624.00,east,91.24,8.20
11,2.00,142.35,135.55,640.00,672.00,east,83.25,7.99
12,2.20,132.81,129.93,588.00,740.00,east,72.36,11.07
13,2.40,124.28,124.58,640.00,732.00,east,62.58,10.07
14,2.60,116.33,119.78,708.00,716.00,north,53.54,9.29
15,2.80,107.72,115.14,712.00,868.00,north,43.99,9.78
16,3.00,99.75,111.46,764.00,884.00,north,35.38,8.78
17,3.20,92.65,108.89,776.00,900.00,west,27.92,7.54
18,3.40,85.77,105.74,768.00,808.00,west,20.65,7.57
19,3.60,79.94,103.04,740.00,748.00,west,14.56,6.43
20,3.80,72.77,98.08,672.00,796.00,west,7.71,8.72
21,4.00,68.32,92.11,632.00,616.00,west,6.30,7.44
22,4.20,64.64,85.87,600.00,512.00,west,8.50,7.25
23,4.40,63.12,79.70,632.00,488.00,west,13.62,6.36
24,4.60,62.42,73.52,608.00,576.00,west,19.38,6.22
25,4.80,63.41,70.08,640.00,504.00,west,22.96,3.59
26,5.00,67.41,67.91,668.00,572.00,south,26.17,4.55
27,5.20,72.13,67.21,664.00,612.00,south,28.54,4.78
28,5.40,75.62,66.28,724.00,452.00,south,30.97,3.61
29,5.60,77.88,65.92,620.00,368.00,south,32.46,2.29
30,5.80,81.73,64.69,516.00,512.00,south,35.53,4.04
31,6.00,87.09,66.84,552.00,468.00,south,37.17,5.77
32,6.20,92.24,69.24,640.00,416.00,south,39.27,5.69
33,6.40,96.17,73.81,588.00,524.00,south,39.51,6.02
34,6.60,100.27,78.82,616.00,548.00,south,40.45,6.47
35,6.80,103.09,84.14,668.00,580.00,south,40.96,6.03
36,7.00,106.68,90.66,668.00,720.00,south,42.41,7.44
37,7.20,110.05,97.20,652.00,784.00,east,44.83,7.35
38,7.40,113.14,102.00,660.00,600.00,east,47.73,5.71
39,7.60,115.78,107.62,708.00,576.00,east,50.66,6.21
40,7.80,119.50,115.08,644.00,656.00,east,55.45,8.34
41,8.00,123.47,123.60,596.00,656.00,east,61.51,9.40
42,8.20,127.78,132.42,640.00,668.00,north,68.55,9.82
43,8.40,133.28,141.84,656.00,664.00,north,77.53,10.91
44,8.60,140.14,151.98,600.00,728.00,north,88.48,12.24
45,8.80,149.32,162.92,628.00,628.00,north,102.10,14.28
46,9.00,156.99,170.86,604.00,504.00,north,112.92,11.05
47,9.20,166.41,179.60,588.00,528.00,north,125.66,12.85
48,9.40,176.97,188.55,524.00,440.00,north,139.46,13.84
49,9.60,185.96,195.68,540.00,416.00,n ext,150.92,11.47
50,9.80,192.52,200.53,500.00,464.00,n ext,159.09,8.16
51,10.00,194.93,201.86,540.00,384.00,n ext,161.82,2.75
52,10.20,194.74,200.66,448.00,332.00,n ext,160.96,1.22
53,10.40,193.05,197.88,364.00,308.00,n ext,157.96,3.25
54,10.60,189.60,193.40,396.00,272.00,east,152.56,5.65
55,10.80,183.84,186.43,408.00,380.00,east,143.87,9.04
56,11.00,176.34,178.48,484.00,364.00,east,133.23,10.93
57,11.20,168.83,172.08,472.00,468.00,north,123.46,9.87
58,11.40,162.52,168.09,548.00,460.00,north,115.99,7.46
59,11.60,155.81,165.30,544.00,548.00,north,108.84,7.27
60,11.80,148.52,162.94,620.00,564.00,north,101.46,7.66
61,12.00,140.56,161.17,604.00,568.00,north,93.91,8.16
62,12.20,129.46,159.86,544.00,668.00,north,84.18,11.18
63,12.40,119.68,160.73,588.00,548.00,north,77.24,9.82
64,12.60,108.63,162.77,544.00,588.00,north,70.98,11.24
65,12.80,96.42,165.42,572.00,516.00,north,65.75,12.50
66,13.00,84.49,169.47,540.00,472.00,north,63.63,12.60
67,13.20,70.37,174.20,516.00,448.00,north,64.17,14.89
68,13.40,58.40,179.76,496.00,428.00,north,68.52,13.20
69,13.60,44.75,185.95,444.00,388.00,n ext,75.67,14.99
70,13.80,35.38,191.47,428.00,336.00,n ext,82.97,10.87
71,14.00,31.02,193.89,388.00,264.00,n ext,86.49,4.99
72,14.20,29.34,194.59,408.00,300.00,n ext,87.66,1.82
73,14.40,31.80,190.87,224.00,280.00,n ext,83.38,4.46
74,14.60,29.16,192.68,112.00,112.00,n ext,85.90,3.20
75,14.80,29.64,196.53,288.00,248.00,n ext,89.42,3.88
76,15.00,32.40,194.74,152.00,256.00,n ext,86.91,3.29
77,15.20,49.87,189.02,280.00,328.00,n ext,78.12,18.37
78,15.40,62.97,185.26,384.00,312.00,n ext,74.19,13.63
79,15.60,76.49,181.69,352.00,336.00,n ext,72.80,13.98
80,15.80,87.88,179.32,440.00,320.00,n ext,74.04,11.64
81,16.00,95.49,177.67,388.00,324.00,n ext,75.78,7.78
82,16.20,104.72,175.76,404.00,344.00,north,78.97,9.43
83,16.40,111.91,173.41,372.00,336.00,north,81.29,7.56
84,16.60,115.52,167.80,468.00,440.00,north,79.31,6.67
85,16.80,118.40,161.82,476.00,512.00,north,77.05,6.64
86,17.00,121.81,156.55,576.00,564.00,north,76.12,6.28
87,17.20,124.28,150.89,588.00,620.00,north,74.70,6.17
88,17.40,127.04,145.86,596.00,632.00,north,74.12,5.74
89,17.60,128.56,141.79,612.00,496.00,north,73.34,4.34
