Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0002\data\track_00115.trk,,,,,,,
Object,0,,,,,,,
Samples,43,,,,,,,
treatment,3,,,,,,,
cage,42,,,,,,,
mark,1,,,,,,,
id,74,,,,,,,
trial,3,,,,,,,
date,37:18.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,215.03,221.96,60,180,n ext,189.9,-
2,0.2,212.57,219.46,96,108,n ext,186.43,3.51
3,0.4,206.1,211.78,332,356,e ext,176.68,10.05
4,0.6,200.74,205.41,532,304,e ext,168.61,8.32
5,0.8,193.91,196.72,556,336,e ext,158,11.05
6,1,183.75,183.32,568,500,east,142.08,16.82
7,1.2,174.31,169.45,640,552,east,126.79,16.78
8,1.4,167.85,158.27,712,536,east,115.79,12.91
9,1.6,160.66,145.95,772,620,east,104.1,14.27
10,1.8,155,135.58,768,588,east,95.19,11.81
11,2,148.76,125.05,788,708,east,86.21,12.24
12,2.2,143.5,114.71,784,708,reveral larger,79.06,11.6
13,2.4,139.36,104.54,768,696,platform reversal,73.99,10.98
14,2.6,136.26,95.42,884,740,reveral larger,71.09,9.63
15,2.8,132.65,87.3,804,824,east,68.52,8.89
16,3,129.01,81.91,860,760,east,66.22,6.5
17,3.2,124.72,77.29,816,772,south,63.61,6.31
18,3.4,120.62,73.69,844,700,south,61.1,5.45
19,3.6,114.12,71.86,744,708,south,55.96,6.75
20,3.8,106.08,70.33,804,732,south,49.7,8.19
21,4,98.95,68.75,848,660,south,44.78,7.3
22,4.2,91.35,66.4,776,672,south,40.48,7.96
23,4.4,84.21,64.11,700,516,south,37.44,7.5
24,4.6,76.15,62.1,716,624,south,34.89,8.31
25,4.8,70.12,60.77,764,504,south,33.8,6.18
26,5,63.24,60.18,756,752,south,32.66,6.9
27,5.2,57.99,60.52,676,640,south,31.83,5.26
28,5.4,53.74,62.59,656,660,west,29.88,4.73
29,5.6,51.03,67.73,624,720,west,25.24,5.81
30,5.8,50.04,74.57,648,568,west,18.95,6.92
31,6,50.52,82.5,640,624,west,11.61,7.94
32,6.2,51.68,91.4,548,628,platform larger,3.56,8.98
33,6.4,50.9,94.38,512,404,platform larger,2.66,3.08
34,6.6,52.94,97.26,536,256,platform,0,3.53
35,6.8,54.89,99.95,716,404,platform,0,3.32
36,7,54.28,98.72,580,192,platform,0,1.37
37,7.2,54.98,98.91,632,148,platform,0,0.73
38,7.4,57.07,99.46,704,296,platform,0,2.16
39,7.6,58.25,101.76,676,284,platform,0,2.57
40,7.8,58.93,101.9,728,124,platform,0,0.7
41,8,60.96,102.31,800,240,platform,0,2.08
42,8.2,60.29,102.18,756,116,platform,0,0.69
43,8.4,59.61,102.04,728,132,platform,0,0.69
