Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00112.trk,,,,,,,
Object,0,,,,,,,
Samples,151,,,,,,,
treatment,2,,,,,,,
cage,41,,,,,,,
mark,2,,,,,,,
id,81,,,,,,,
trial,4,,,,,,,
date,45:08.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,209.37,-20.39,352,532,s ext,186.68,-
2,0.2,208.63,-17.9,472,488,s ext,184.56,2.59
3,0.4,203.31,-10.63,504,472,s ext,175.89,9.01
4,0.6,198.28,-3.51,544,424,s ext,167.58,8.71
5,0.8,188.08,11.15,596,548,east,150.75,17.86
6,1,180.08,22.52,628,456,east,137.8,13.91
7,1.2,170.31,35.9,652,632,east,122.51,16.56
8,1.4,160.92,48.38,684,584,east,108.32,15.62
9,1.6,152.19,60.54,776,644,east,95.3,14.97
10,1.8,145.17,70.03,796,684,east,85.31,11.8
11,2,139.76,78.13,868,680,east,77.6,9.74
12,2.2,133.09,85.52,884,768,east,69.31,9.96
13,2.4,127.99,90.87,952,740,east,63.34,7.4
14,2.6,122.7,95.43,976,776,east,57.57,6.98
15,2.8,117.77,99.29,972,812,east,52.45,6.26
16,3,114.23,103.45,972,848,east,48.83,5.47
17,3.2,111.47,106.77,940,776,east,46.29,4.31
18,3.4,109.36,110.05,964,744,east,44.6,3.9
19,3.6,106.78,110.77,1000,764,north,42.16,2.68
20,3.8,102.93,111.31,1000,736,north,38.47,3.89
21,4,98.5,111.3,1040,608,north,34.13,4.42
22,4.2,92.94,110.73,1064,768,north,28.58,5.59
23,4.4,87.24,110.95,1004,796,west,23.15,5.7
24,4.6,81.64,110.7,1024,764,west,17.76,5.61
25,4.8,75.8,111.24,1000,832,west,12.42,5.87
26,5,69.39,113.53,956,828,west,8.33,6.81
27,5.2,64.68,116.21,956,752,west,7.27,5.42
28,5.4,60.77,120.07,904,740,west,9.26,5.49
29,5.6,56.87,125.19,804,684,west,13.99,6.44
30,5.8,54,130.37,792,492,west,19.34,5.92
31,6,52.04,134.48,760,456,west,23.7,4.55
32,6.2,50.07,139.41,844,388,west,28.92,5.31
33,6.4,49.67,141.18,800,284,west,30.73,1.81
34,6.6,48.63,143.98,836,404,west,33.69,2.98
35,6.8,48.33,146.35,824,348,west,36.07,2.4
36,7,48.67,147.62,800,336,west,37.24,1.31
37,7.2,51.37,147.03,760,520,north,36.19,2.77
38,7.4,55.36,144.56,780,396,north,33.4,4.69
