Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00114.trk,,,,,,,
Object,0,,,,,,,
Samples,86,,,,,,,
treatment,3,,,,,,,
cage,42,,,,,,,
mark,1,,,,,,,
id,74,,,,,,,
trial,2,,,,,,,
date,29/07/2009 14:52,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,109.5,14.74,324,576,s ext,92.6,-
2,0.2,109.5,14.74,328,228,s ext,92.6,0
3,0.4,105.99,14.98,360,136,s ext,90.58,3.52
4,0.6,102.03,17.14,484,316,s ext,86.74,4.52
5,0.8,94.68,20.07,640,412,s ext,80.79,7.91
6,1,87.68,24.37,680,480,south,74.05,8.21
7,1.2,79.88,27.87,704,536,south,68.09,8.55
8,1.4,71.77,32,684,604,south,61.94,9.1
9,1.6,64.92,35.24,756,640,south,57.62,7.58
10,1.8,60.11,37.51,768,612,south,54.92,5.31
11,2,55.18,39.56,720,600,south,52.79,5.34
12,2.2,51.79,41.1,724,540,south,51.46,3.73
13,2.4,50.01,43.2,784,532,south,49.58,2.76
14,2.6,48.53,45.3,740,532,south,47.72,2.57
15,2.8,50.19,50.67,748,552,south,42.16,5.61
16,3,52.07,57.08,752,652,west,35.55,6.68
17,3.2,54.92,64.05,724,580,west,28.33,7.54
18,3.4,56.94,70.19,780,592,west,22.14,6.46
19,3.6,60.74,77.66,804,664,west,15.01,8.38
20,3.8,64.35,83.38,852,480,west,10.59,6.77
21,4,66.1,87.3,824,388,west,8.05,4.29
22,4.2,68.31,91.32,848,400,west,6.77,4.58
23,4.4,69.66,93.34,820,388,west,6.63,2.44
24,4.6,72.21,96.41,620,672,west,7.76,3.99
25,4.8,74.18,96.17,668,464,west,9.67,1.98
26,5,75.49,95.78,756,416,west,11.02,1.37
27,5.2,76.83,93.3,768,388,west,13.17,2.82
28,5.4,77.44,90.72,816,504,west,14.71,2.65
29,5.6,77.27,87.28,960,480,west,16.3,3.44
30,5.8,76.26,83.59,840,448,west,17.83,3.83
31,6,75.38,81.92,876,572,west,18.21,1.88
32,6.2,73.14,80.32,848,492,west,17.84,2.75
33,6.4,71.7,79.68,808,520,west,17.5,1.57
34,6.6,69.93,80.9,832,376,west,15.51,2.15
35,6.8,68.27,82.97,888,440,west,12.89,2.65
36,7,68.1,87.35,852,492,west,9.21,4.39
37,7.2,68.99,93.13,824,612,west,6.17,5.85
38,7.4,70.01,99.8,916,596,west,4.7,6.75
39,7.6,71.84,105.68,808,628,west,6.89,6.16
40,7.8,72.61,111.18,904,528,west,9.58,5.55
41,8,73.71,114.2,848,456,west,12.22,3.21
42,8.2,75.38,117.03,888,584,west,15.25,3.3
43,8.4,77.94,118.95,932,596,west,18.44,3.19
44,8.6,81.02,119.4,984,604,north,21.2,3.11
45,8.8,84.13,119.89,908,628,north,24,3.15
46,9,86.4,121.07,924,432,north,26.54,2.57
47,9.2,87.56,121.67,880,508,north,27.84,1.31
48,9.4,89.74,123.52,872,536,north,30.68,2.86
49,9.6,91.31,125.39,812,532,north,33.04,2.44
50,9.8,92.03,127.9,800,564,north,35.09,2.61
51,10,93.78,129.82,812,740,north,37.64,2.59
52,10.2,95.81,131.16,920,412,north,40.07,2.44
53,10.4,98.77,132.64,988,420,north,43.33,3.31
54,10.6,101.15,133.52,884,608,north,45.79,2.54
55,10.8,104.47,134.63,828,512,north,49.12,3.49
56,11,107.98,134.66,892,480,north,52.03,3.51
57,11.2,112.3,133.22,868,616,north,54.97,4.55
58,11.4,114.64,130.23,892,616,north,55.65,3.8
59,11.6,115.23,126.77,916,616,north,54.79,3.51
60,11.8,114.35,122.85,996,592,north,52.6,4.02
61,12,112.24,118.6,944,668,north,49.29,4.74
62,12.2,109.69,114.96,1024,664,north,45.86,4.45
63,12.4,105.54,110.55,1056,728,north,40.9,6.06
64,12.6,100.45,106.24,1096,864,north,35.27,6.67
65,12.8,96.17,101.53,1068,884,west,30.77,6.36
66,13,92.39,96.76,1040,828,west,27.27,6.08
67,13.2,87.67,91.55,1012,852,west,23.91,7.03
68,13.4,81.75,86.16,940,856,west,20.69,8
69,13.6,75.88,80.82,924,776,west,19.33,7.94
70,13.8,69.64,76.05,884,760,west,19.52,7.86
71,14,65.08,73.66,868,768,west,19.96,5.14
72,14.2,60.09,72.15,864,812,west,20.41,5.21
73,14.4,57.33,74.14,816,712,west,18.2,3.41
74,14.6,56.01,77.35,824,592,west,14.99,3.47
75,14.8,57.07,84.89,852,620,west,7.44,7.62
76,15,58.07,89.98,700,456,platform larger,2.55,5.18
77,15.2,59.36,97.12,792,580,platform,0,7.26
78,15.4,60.29,102.18,856,544,platform,0,5.14
79,15.6,60.03,104.07,836,236,platform,0,1.91
80,15.8,59.49,102.99,792,164,platform,0,1.2
81,16,59.72,101.09,736,352,platform,0,1.92
82,16.2,60.4,101.24,804,260,platform,0,0.69
83,16.4,60.4,101.24,764,144,platform,0,0
84,16.6,59.04,100.94,700,288,platform,0,1.39
85,16.8,59.14,99.98,760,212,platform,0,0.96
86,17,59.72,101.09,744,224,platform,0,1.26
