Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00080.trk,,,,,,
Object,0,,,,,,
Samples,450,,,,,,
id,115,,,,,,
trial,4,,,,,,
date,06:06.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,193.15,159.33,64,112,e ext,146.41
2,0.2,195.26,161.2,148,132,e ext,148.99
3,0.4,193.89,158.52,196,200,e ext,146.89
4,0.6,192.36,154.74,248,188,e ext,144.35
5,0.8,189.93,150.72,204,204,e ext,140.97
6,1,188.64,148.19,268,144,e ext,139.11
7,1.2,185.91,147.35,240,268,e ext,136.26
8,1.4,183.37,147.6,272,200,e ext,133.85
9,1.6,180.68,146.77,344,176,e ext,131.04
10,1.8,176.4,146.47,332,260,east,126.82
11,2,174.07,147.71,316,216,east,124.86
12,2.2,172.61,149.18,292,288,east,123.84
13,2.4,172.76,150.19,328,236,east,124.26
14,2.6,172.32,152.93,352,248,east,124.63
15,2.8,171.74,154.65,324,220,east,124.59
16,3,169.69,157.74,384,252,east,123.66
17,3.2,166.15,162.09,372,324,east,121.92
18,3.4,160.96,166.6,384,420,east,118.99
19,3.6,156.63,171.3,372,468,north,117.23
20,3.8,152.26,175.91,344,428,north,115.73
21,4,146.21,180.7,332,452,north,113.2
22,4.2,139.99,184.55,344,420,north,110.33
23,4.4,132.07,188.81,312,472,n ext,106.88
24,4.6,123.93,191.48,316,460,n ext,102.77
25,4.8,115.77,194.57,228,424,n ext,99.52
26,5,107.53,197.22,208,356,n ext,96.5
27,5.2,100.89,198.83,132,292,n ext,93.97
28,5.4,-,-,-,-,-,-
29,5.6,85.98,199.51,68,-,n ext,87.27
30,5.8,81.9,197.73,112,124,n ext,83.99
31,6,77.9,194.33,196,196,n ext,79.33
32,6.2,73.26,188.58,236,304,n ext,72.33
33,6.4,68.01,182.48,304,380,n ext,64.88
34,6.6,63.73,174.91,348,452,north,56.4
35,6.8,58.83,167.02,372,528,north,47.48
36,7,54.75,159.17,412,552,west,38.93
37,7.2,50.71,150.62,408,572,west,29.84
38,7.4,45.88,141.38,376,592,west,20.21
