Track file,I:\Rat Navigation Data\exp nesté 1morris_0003\data\track_00049.trk,,,,,,,
Object,0,,,,,,,
Samples,271,,,,,,,
id,98,,,,,,,
trial,1,,,,,,,
date,30:33.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,127.63,167.26,356,440,north,90.29,-
2,0.2,119.68,167.67,344,396,north,83.97,7.97
3,0.4,111.74,167.61,360,384,north,77.65,7.93
4,0.6,104.65,167.25,328,376,north,72.07,7.1
5,0.8,99.16,166.61,344,304,north,67.67,5.52
6,1,96.05,166.34,344,408,north,65.32,3.12
7,1.2,92.17,162.95,396,388,north,60.19,5.15
8,1.4,87.62,158.2,380,448,north,53.61,6.58
9,1.6,83.18,152.95,456,412,north,46.74,6.88
10,1.8,77.39,147.28,420,476,north,38.64,8.11
11,2,71.68,141.86,396,504,north,30.8,7.87
12,2.2,64.57,136,408,508,west,21.77,9.21
13,2.4,58.89,130.75,400,480,west,14.15,7.74
14,2.6,53.11,126.15,404,444,west,6.99,7.38
15,2.8,44.93,122.41,412,528,west,1.3,9
16,3,38.83,119.01,424,412,west,1.5,6.98
17,3.2,33.35,117.03,424,352,west,5.89,5.83
18,3.4,29.36,115.66,428,348,west,9.53,4.22
19,3.6,26.11,113.25,348,552,west,12.76,4.05
20,3.8,24.41,108.81,348,360,west,15.03,4.75
21,4,24.28,102.39,400,308,west,17.34,6.42
22,4.2,24.89,95.03,400,392,west,20.91,7.38
23,4.4,27.92,87,428,444,west,24.92,8.58
24,4.6,31.72,79.32,396,448,west,29.6,8.57
25,4.8,38.02,74.13,388,432,west,32.74,8.16
26,5,44.2,68.39,400,452,west,37.65,8.43
27,5.2,51.12,63.93,400,488,west,42.22,8.24
28,5.4,57.21,60.28,428,452,south,46.74,7.09
29,5.6,62.54,58.99,420,496,south,49.18,5.49
30,5.8,68.63,60.19,420,456,south,50.04,6.21
31,6,74.61,61.22,508,432,south,51.75,6.06
32,6.2,79.73,60.43,500,376,south,55.08,5.18
33,6.4,84.06,59.46,516,392,south,58.3,4.44
34,6.6,87.64,57.58,512,404,south,61.88,4.04
35,6.8,89.05,56.19,492,412,south,63.83,1.98
36,7,89.74,53.96,516,400,south,66.05,2.34
37,7.2,89.72,51.64,488,396,south,67.95,2.32
38,7.4,88.24,49.13,500,316,south,69.21,2.91
39,7.6,86,45.68,536,348,south,70.91,4.12
40,7.8,82.22,41.03,556,404,south,73.15,5.99
41,8,77.58,35.95,456,396,south,75.87,6.88
42,8.2,72.75,29.61,524,452,south,80.24,7.97
43,8.4,69.38,24.21,404,344,south,84.56,6.37
44,8.6,67.63,20.93,220,224,s ext,87.36,3.72
45,8.8,59.34,5.53,120,340,s ext,101.16,17.49
46,9,59.26,4.52,164,76,s ext,102.16,1.02
47,9.2,60.02,3.85,84,88,s ext,102.91,1.02
48,9.4,66.71,18.79,92,176,s ext,89.27,16.37
49,9.6,66.77,19.73,64,60,s ext,88.36,0.94
50,9.8,66.96,10.41,64,128,s ext,97.55,9.32
51,10,69.7,16.06,116,172,s ext,92.56,6.27
52,10.2,69.01,17.7,192,156,s ext,90.82,1.77
53,10.4,69.12,19.58,300,196,s ext,89.01,1.88
54,10.6,69.23,21.44,400,252,s ext,87.21,1.87
55,10.8,67.15,26.22,440,288,south,82.09,5.22
56,11,65.02,30.03,464,320,south,77.92,4.36
57,11.2,63.88,37.59,452,412,south,70.29,7.64
58,11.4,62.7,44.97,432,420,south,62.83,7.47
59,11.6,61.5,52.2,456,400,south,55.51,7.33
60,11.8,59.48,59.14,468,476,south,48.29,7.23
61,12,56.68,66.7,484,536,west,40.33,8.06
62,12.2,52.29,74.02,408,468,west,32.34,8.54
63,12.4,48.6,80.8,404,412,west,25.21,7.71
64,12.6,44.1,88.51,428,488,west,17.56,8.92
65,12.8,41.12,96.59,460,472,west,10.15,8.62
66,13,38.06,104.9,452,456,west,4.52,8.85
67,13.2,36.52,111.68,444,360,west,2.75,6.96
68,13.4,35.72,117.65,400,388,west,3.6,6.02
69,13.6,37.22,123.35,452,412,west,5.43,5.9
70,13.8,40.98,128.59,436,392,west,7.99,6.44
71,14,45.38,134.29,416,428,west,13.12,7.21
72,14.2,51.9,140.18,368,488,west,19.76,8.78
73,14.4,58.35,145.16,420,484,west,26.42,8.15
74,14.6,64.03,150.3,412,504,north,33.4,7.66
75,14.8,68.22,156.55,404,528,north,40.88,7.53
76,15,71.69,163.87,392,476,north,48.97,8.1
77,15.2,73,170.09,292,396,north,55.13,6.36
78,15.4,73.6,175.75,324,296,north,60.52,5.69
79,15.6,73.46,180.8,284,280,north,65.11,5.05
80,15.8,72.57,185.19,288,300,n ext,68.9,4.49
81,16,71.71,187.92,228,196,n ext,71.19,2.86
82,16.2,70.87,189.8,220,184,n ext,72.73,2.06
83,16.4,73.24,189.47,164,240,n ext,73.15,2.39
84,16.6,73.19,191.24,116,168,n ext,74.82,1.78
85,16.8,67.64,193.02,228,296,n ext,74.88,5.84
86,17,64.59,190.98,220,200,n ext,72.12,3.67
87,17.2,61.58,189.04,212,176,n ext,69.56,3.58
88,17.4,57.27,183.25,248,284,n ext,63.07,7.22
89,17.6,53.75,178.32,308,300,n ext,57.7,6.06
90,17.8,49.59,172.05,296,388,north,51.05,7.52
91,18,46.22,165.64,292,332,west,44.47,7.24
92,18.2,43.62,158.18,300,376,west,37.05,7.9
93,18.4,42.47,151.11,344,316,west,30.08,7.16
94,18.6,42.05,143.04,352,440,west,22.11,8.08
95,18.8,44.62,134.43,272,440,west,13.27,8.99
96,19,48.57,128.27,324,348,west,7.41,7.32
97,19.2,52.46,122.4,376,380,west,3.61,7.04
98,19.4,57.78,117.44,424,504,west,4.71,7.26
99,19.6,63.71,114.93,444,564,west,10.01,6.44
100,19.8,70.98,114.69,428,576,west,17.25,7.27
101,20,76.71,115.97,468,544,west,23.05,5.87
102,20.2,84.53,117.97,504,540,west,31.05,8.08
103,20.4,90.92,120.07,492,484,north,37.68,6.72
104,20.6,98.05,121.64,492,448,north,44.96,7.3
105,20.8,105.21,122.69,496,476,north,52.21,7.25
106,21,111.01,124.51,472,416,north,58.23,6.07
107,21.2,116.12,125.7,432,408,north,63.48,5.25
108,21.4,119.08,126.74,432,416,north,66.58,3.14
109,21.6,121.36,128.47,432,472,north,69.16,2.86
110,21.8,122.2,130.8,484,476,north,70.46,2.47
111,22,121.55,132.93,424,396,north,70.32,2.23
112,22.2,118.63,134,436,292,north,67.76,3.11
113,22.4,113.47,134.81,484,352,north,63.05,5.22
114,22.6,106.85,135.55,492,440,north,57.02,6.66
115,22.8,99.51,135,440,476,north,49.99,7.36
116,23,92.96,134.01,468,484,north,43.58,6.63
117,23.2,87.18,131.83,460,512,north,37.43,6.17
118,23.4,80.76,127.72,472,516,north,29.89,7.62
119,23.6,76.54,123.65,484,404,west,24.48,5.87
120,23.8,71.59,119.62,500,480,west,18.63,6.38
121,24,65.9,114.85,468,464,west,12.19,7.43
122,24.2,60.11,110.66,476,488,west,6.57,7.14
123,24.4,54.22,105.52,472,508,west,3.54,7.83
124,24.6,48.15,100.04,440,464,west,5.99,8.18
125,24.8,42.6,91.69,444,492,west,14.6,10.02
126,25,36.79,83.52,428,488,west,23.9,10.03
127,25.2,32.33,74.92,412,448,west,33.47,9.69
128,25.4,26.76,65.49,408,412,west,44.27,10.95
129,25.6,22.7,56.77,400,376,west,53.88,9.62
130,25.8,20.58,52.21,332,244,w ext,58.9,5.03
131,26,18.31,46.46,320,260,w ext,65.08,6.18
132,26.2,17.2,44.04,300,356,w ext,67.74,2.66
133,26.4,17.7,40.13,292,320,w ext,71.18,3.94
134,26.6,21.16,39.4,264,228,w ext,70.69,3.53
135,26.8,24.77,40.75,300,276,w ext,68.33,3.86
136,27,31.93,44.28,312,356,west,63.2,7.98
137,27.2,38.94,48.46,348,396,west,57.92,8.16
138,27.4,45.89,54.96,312,452,west,51.04,9.52
139,27.6,50.25,62.05,356,444,west,44.02,8.32
140,27.8,54.52,71.16,408,524,west,35.55,10.05
141,28,57.82,80.37,432,496,west,27.34,9.78
142,28.2,61.7,89.91,456,552,west,20.56,10.3
143,28.4,64.66,98.2,488,520,west,16.2,8.81
144,28.6,67.51,105.49,460,484,west,14.96,7.83
145,28.8,71.74,112.56,500,496,west,17.97,8.24
146,29,75.23,118.09,456,452,west,21.88,6.54
147,29.2,78.7,123.59,496,536,west,26.51,6.5
148,29.4,80.72,129.83,480,496,north,30.74,6.56
149,29.6,82.75,136.85,488,448,north,36.1,7.31
150,29.8,84.81,144.02,416,424,north,41.88,7.45
151,30,86.95,149.88,400,432,north,47.29,6.24
152,30.2,89.91,153.64,420,420,north,52.01,4.79
153,30.4,92.92,156.77,416,412,north,56.34,4.34
154,30.6,97.51,160.13,444,420,north,62,5.69
155,30.8,101.39,162.05,428,392,north,66.17,4.33
156,31,105.33,164.13,400,284,north,70.5,4.45
157,31.2,108.5,165.41,388,244,north,73.75,3.42
158,31.4,110.11,166.49,380,200,north,75.69,1.95
159,31.6,112.54,167.76,372,336,north,78.37,2.74
160,31.8,116.55,168.6,336,404,north,82.03,4.1
161,32,119.62,166.83,380,276,north,83.43,3.54
162,32.2,121.87,164.91,420,280,north,84.19,2.96
163,32.4,122.51,162.61,420,312,north,83.47,2.39
164,32.6,122.28,159.31,372,320,north,81.5,3.31
165,32.8,122.07,156.05,384,308,north,79.63,3.26
166,33,120.35,153.31,368,344,north,76.78,3.24
167,33.2,117.15,151.13,404,332,north,72.92,3.87
168,33.4,112.53,150.35,400,324,north,68.51,4.69
169,33.6,106.43,149.51,416,448,north,62.87,6.16
170,33.8,99.66,150.35,388,452,north,57.63,6.82
171,34,92.91,152.21,392,428,north,53.33,7
172,34.2,86.16,153.63,436,404,north,49.3,6.9
173,34.4,78.68,154.68,448,428,north,45.18,7.55
174,34.6,71.97,155.29,436,468,north,41.7,6.73
175,34.8,64.52,156.36,380,424,north,39.11,7.53
176,35,57.04,157.84,400,468,west,38.15,7.62
177,35.2,49.52,159.74,336,440,west,38.79,7.76
178,35.4,43.35,163.24,288,352,west,42.11,7.09
