Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0001\data\track_00055.trk,,,,,,,
Object,0,,,,,,,
Samples,315,,,,,,,
id,76,,,,,,,
trial,3,,,,,,,
date,17:59.0,yyyy-MM-dd HH:mm:ss,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:03.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00055.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,18:50.6,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,19:53.6,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0,171.01,46.85,200,184,e ext,-,133.7
2,0.2,168.94,50.69,256,344,e ext,4.36,130.08
3,0.4,166.91,55.36,292,292,e ext,5.09,126.18
4,0.6,164.93,60.81,312,276,east,5.8,122.08
5,0.8,162.26,67.17,356,324,east,6.9,117.15
6,1,158.88,73.38,396,384,east,7.08,111.8
7,1.2,155.45,78.4,440,380,east,6.07,106.96
8,1.4,149.06,81.79,436,460,east,7.24,99.85
9,1.6,144.11,83.94,460,472,east,5.39,94.5
10,1.8,137.73,84.48,508,448,east,6.4,88.23
11,2,131.44,85.66,536,540,east,6.41,81.87
12,2.2,125.88,86.68,560,496,east,5.65,76.27
13,2.4,119.65,88.31,580,524,east,6.44,69.85
14,2.6,112.74,90.5,664,620,east,7.25,62.6
15,2.8,105.12,93.2,748,716,south,8.09,54.51
16,3,96.76,96.44,760,812,south,8.96,45.56
17,3.2,88.31,100.29,748,860,west,9.28,36.36
18,3.4,79.05,104.19,768,900,west,10.05,26.4
19,3.6,68.91,109.05,676,940,west,11.24,15.5
20,3.8,60.05,114.35,628,864,west,10.33,6.32
21,4,51,121,580,800,west,11.23,1.65
22,4.2,43.3,127.43,544,740,west,10.03,6.45
23,4.4,35.47,133.71,556,612,west,10.04,15.01
24,4.6,27.51,139.82,484,616,west,10.04,24.39
25,4.8,21.02,145.21,468,504,w ext,8.44,32.57
26,5,17.69,150,384,412,w ext,5.84,38.4
27,5.2,16.77,154.12,260,348,w ext,4.22,42.26
28,5.4,17.39,159.59,232,276,w ext,5.51,46.52
29,5.6,20.43,163.07,276,260,w ext,4.62,47.97
30,5.8,24.24,165.18,316,360,w ext,4.36,48.19
31,6,28.63,169.66,344,420,w ext,6.27,50.88
32,6.2,33,173.13,344,440,w ext,5.58,53.19
33,6.4,37.93,178.95,348,532,w ext,7.62,58.23
34,6.6,42.16,183.31,308,440,w ext,6.08,62.22
35,6.8,44.85,188.38,140,304,n ext,5.74,67.2
36,7,48.56,189.59,64,188,n ext,3.9,68.49
