Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0002\data\track_00071.trk,,,,,,,
Object,0,,,,,,,
Samples,69,,,,,,,
id,78,,,,,,,
trial,3,,,,,,,
date,52:12.0,yyyy-MM-dd HH:mm:ss,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:13.800,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00071.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,52:37.6,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,52:51.4,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0,185.39,132.67,304,196,e ext,-,132.97
2,0.2,184.66,133.54,320,136,e ext,1.14,132.38
3,0.4,183.21,135.27,280,240,e ext,2.26,131.21
4,0.6,181.61,135.92,308,172,e ext,1.73,129.74
5,0.8,181.04,137.8,332,208,e ext,1.97,129.51
6,1,178.86,140.25,376,212,e ext,3.28,127.85
7,1.2,176.83,143.65,456,256,east,3.96,126.58
8,1.4,173.19,147.44,492,356,east,5.25,123.94
9,1.6,169.69,152.05,524,408,east,5.79,121.85
10,1.8,165.44,157.16,520,436,east,6.65,119.47
11,2,161.29,163.04,508,524,east,7.19,117.82
12,2.2,157.85,168.13,488,476,north,6.14,116.86
13,2.4,153.51,172.77,472,464,north,6.36,115.21
14,2.6,147.76,173.2,448,504,north,5.76,110.48
15,2.8,141.95,172.79,508,420,north,5.83,105.33
16,3,135.17,170.43,532,448,north,7.18,98.36
17,3.2,128.52,168.36,592,524,north,6.96,91.64
18,3.4,121.18,166.39,608,496,north,7.61,84.45
19,3.6,115.47,163.46,556,484,north,6.41,78.09
20,3.8,111.41,160.3,568,492,north,5.15,72.95
21,4,108.07,153.53,556,508,north,7.54,66.42
22,4.2,104.88,147.83,588,488,north,6.53,60.66
23,4.4,102.53,141.7,592,524,north,6.57,55.57
24,4.6,99.52,135.71,704,568,north,6.7,50.27
25,4.8,95.15,129.86,700,612,north,7.3,44.09
26,5,90.87,124.89,712,588,north,6.56,38.6
27,5.2,86.64,120.03,700,532,north,6.44,33.45
28,5.4,83.14,115.91,748,504,west,5.41,29.46
29,5.6,79.65,111.79,768,588,west,5.4,25.88
30,5.8,75.43,107.63,752,536,west,5.93,22.17
31,6,71.18,102.67,744,552,west,6.53,19.4
32,6.2,67.59,98.3,732,500,west,5.66,18.54
33,6.4,65.41,93.84,640,644,west,4.96,19.7
34,6.6,64.66,88.63,656,456,west,5.26,23.27
35,6.8,64.61,82.65,624,464,west,5.98,28.21
36,7,66.03,77.53,656,440,west,5.31,33.32
37,7.2,66.73,74.59,672,328,west,3.03,36.23
38,7.4,68.1,68.67,632,512,south,6.08,42.11
39,7.6,70.27,65.93,636,372,south,3.5,45.54
40,7.8,73.18,63.3,628,416,south,3.92,49.23
41,8,76.85,63.09,572,592,south,3.68,51.29
42,8.2,79.06,64.14,556,544,south,2.45,51.63
43,8.4,79.81,65.74,616,452,south,1.77,50.71
44,8.6,79.13,69.39,628,532,south,3.71,47.32
45,8.8,76.26,72.77,684,472,south,4.43,42.91
46,9,72.65,76.06,720,468,south,4.89,38.15
47,9.2,69.01,79.38,708,428,west,4.92,33.38
48,9.4,64.61,82.65,712,492,west,5.49,28.21
49,9.6,59.43,86.7,652,580,west,6.58,22.11
50,9.8,55.71,91.78,668,616,west,6.29,15.92
51,10,52.71,97.03,628,520,west,6.05,9.92
52,10.2,50.44,100.87,592,348,west,4.46,5.6
53,10.4,49.68,101.64,528,296,west,1.09,4.72
54,10.6,48.92,101.63,476,140,west,0.76,4.61
55,10.8,48.92,103.21,340,184,west,1.58,3.14
56,11,48.16,103.21,340,80,west,0.76,2.88
57,11.2,47.39,103.21,308,136,west,0.77,2.78
58,11.4,47.39,103.21,324,96,west,0,2.78
59,11.6,47.39,104,368,140,west,0.79,1.98
60,11.8,47.39,106.38,436,212,platform,2.38,0
61,12,47.38,108.75,564,216,platform,2.37,0
62,12.2,46.62,108.78,576,164,platform,0.77,0
63,12.4,47.38,109.54,556,156,platform,1.08,0
64,12.6,46.61,109.57,580,208,platform,0.76,0
65,12.8,46.61,110.36,612,152,platform,0.79,0
66,13,46.6,111.16,620,216,platform,0.79,0
67,13.2,45.82,112.79,692,240,platform,1.8,0
68,13.4,45.82,112.79,692,160,platform,0,0
69,13.6,45.06,112.83,708,176,platform,0.77,0
