Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00044.trk,,,,,,,
Object,0,,,,,,,
Samples,372,,,,,,,
id,59,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:14.400,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00044.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,30:30.7,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,31:45.1,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,173.2,45.94,444,300,e ext,136.07,-
2,0.2,176.4,49.85,436,368,e ext,137.11,5.05
3,0.4,179.76,54.98,424,332,e ext,138,6.13
4,0.6,183.33,61.39,408,328,e ext,138.88,7.35
5,0.8,186.02,65.04,396,268,e ext,140.17,4.53
6,1,187.18,69.2,408,332,e ext,139.99,4.32
7,1.2,187.47,72.49,384,360,e ext,139.33,3.3
8,1.4,186.96,75.93,428,372,e ext,137.94,3.48
9,1.6,187.49,81.38,464,476,e ext,137.19,5.47
10,1.8,187.34,88.01,440,456,e ext,135.77,6.63
11,2,186.39,94.61,464,360,e ext,133.8,6.67
12,2.2,186.42,102.15,488,368,e ext,133.04,7.54
13,2.4,184.93,110.61,496,408,e ext,131.17,8.58
14,2.6,183.33,117.78,492,340,e ext,129.64,7.34
15,2.8,181.73,124.75,524,440,e ext,128.44,7.15
16,3,179.42,132.39,528,420,e ext,127.03,7.99
17,3.2,176.97,138.77,532,420,east,125.7,6.83
18,3.4,175.23,144.17,520,404,east,125.13,5.68
19,3.6,172.61,149.18,540,388,east,123.84,5.66
20,3.8,170.86,154.35,540,400,east,123.66,5.45
21,4,168.21,159.1,528,380,east,122.75,5.44
22,4.2,166.59,165.09,540,420,east,123.49,6.2
