Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0001\data\track_00048.trk
Object,0
Samples,450
treatment,2,
cage,28,
mark,2,
id,69,
trial,4,
date,2009-07-26 12:26:00.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,65.38,183.99,404.00,208.00,n ext,73.13,-
2,0.20,67.68,185.33,216.00,284.00,n ext,74.73,2.66
3,0.40,72.37,180.44,264.00,296.00,n ext,70.68,6.78
4,0.60,72.92,179.53,160.00,120.00,n ext,69.91,1.06
5,0.80,70.71,178.18,256.00,152.00,north,68.14,2.59
6,1.00,66.82,179.61,320.00,184.00,n ext,68.94,4.15
7,1.20,64.53,180.84,404.00,180.00,n ext,69.91,2.60
8,1.40,58.12,183.78,464.00,236.00,n ext,72.54,7.05
9,1.60,58.12,183.78,472.00,408.00,n ext,72.54,0.00
10,1.80,55.68,185.15,460.00,276.00,n ext,73.94,2.80
11,2.00,56.95,187.30,280.00,332.00,n ext,76.07,2.49
12,2.20,61.20,185.59,244.00,324.00,n ext,74.42,4.58
13,2.40,63.88,181.77,268.00,272.00,n ext,70.78,4.66
14,2.60,64.17,179.29,440.00,236.00,n ext,68.33,2.50
15,2.80,65.13,175.93,460.00,316.00,north,65.09,3.49
16,3.00,69.32,169.72,580.00,456.00,north,59.58,7.49
17,3.20,74.44,163.58,592.00,508.00,north,54.75,8.00
18,3.40,82.22,155.96,624.00,648.00,north,50.40,10.89
19,3.60,90.10,148.35,660.00,676.00,north,48.17,10.96
20,3.80,96.31,142.25,828.00,752.00,north,47.57,8.70
21,4.00,104.30,135.88,764.00,888.00,north,49.72,10.22
22,4.20,109.83,131.35,788.00,784.00,north,51.90,7.15
23,4.40,116.02,127.63,852.00,928.00,north,55.85,7.22
24,4.60,122.42,126.32,808.00,892.00,north,61.37,6.54
25,4.80,131.11,128.39,728.00,824.00,east,70.25,8.93
