Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0002\data\track_00076.trk,,,,,,,
Object,0,,,,,,,
Samples,450,,,,,,,
treatment,2,,,,,,,
cage,37,,,,,,,
mark,1,,,,,,,
id,57,,,,,,,
trial,4,,,,,,,
date,28:43.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,103.99,16.08,504,512,s ext,88.63,-
2,0.2,100.7,15.19,632,296,s ext,87.84,3.41
3,0.4,96.98,16.21,584,224,s ext,85.26,3.85
4,0.6,95.22,16.19,532,244,s ext,84.54,1.76
5,0.8,88,17.81,556,264,s ext,80.28,7.4
6,1,86.21,18.63,680,204,s ext,78.91,1.96
7,1.2,81.12,21.81,708,380,south,74.23,6.01
8,1.4,74.75,23.48,664,420,south,70.91,6.59
9,1.6,71.78,24.6,648,336,south,69.19,3.17
10,1.8,70.17,24.24,712,352,south,69.25,1.65
11,2,65.55,23.91,644,284,south,68.95,4.64
12,2.2,62.59,23.88,616,188,south,68.7,2.96
13,2.4,60.99,23.4,604,132,south,69.06,1.67
14,2.6,56.16,21.81,560,444,south,70.51,5.09
15,2.8,54.39,24.16,512,368,south,68.21,2.93
16,3,53.6,25.28,532,220,south,67.11,1.38
17,3.2,55.5,29.53,644,368,south,62.8,4.66
18,3.4,56.99,32.86,732,344,south,59.46,3.65
19,3.6,60.46,38.31,672,412,south,54.15,6.45
20,3.8,64.28,45.13,676,500,south,47.72,7.82
21,4,67.18,50.19,708,472,south,43.19,5.83
22,4.2,70.07,55.83,740,552,south,38.46,6.34
23,4.4,71.28,59.46,744,436,south,35.43,3.82
24,4.6,72.4,63.04,744,424,south,32.47,3.75
25,4.8,73.43,66.57,672,472,south,29.67,3.68
26,5,75.48,68.7,668,372,south,28.82,2.95
27,5.2,77.58,71.42,816,380,south,27.63,3.44
28,5.4,80.98,73.95,924,508,south,27.81,4.23
29,5.6,85.03,77.14,876,504,south,28.68,5.16
30,5.8,88.05,79.24,888,460,south,29.75,3.67
31,6,90.23,81.01,856,384,south,30.61,2.81
32,6.2,93,82.84,888,544,south,32.15,3.32
33,6.4,94.32,84.33,900,356,south,32.74,1.99
34,6.6,96.14,87.7,928,532,south,33.2,3.84
35,6.8,97.24,90.3,880,424,south,33.38,2.83
36,7,99.33,94.81,940,588,south,34.41,4.97
37,7.2,101.42,98.07,1068,568,south,36.16,3.87
38,7.4,103.4,101.9,952,604,east,37.99,4.31
39,7.6,104.74,106.26,1016,600,east,39.53,4.56
40,7.8,106.21,110.07,976,616,north,41.49,4.09
41,8,108.44,114.09,924,556,north,44.44,4.59
42,8.2,109.61,116.75,916,424,north,46.24,2.9
43,8.4,110.86,119.46,968,492,north,48.24,2.99
44,8.6,112.22,121.63,1004,564,north,50.19,2.56
45,8.8,114.37,123.46,984,492,north,52.81,2.82
46,9,115.84,124.53,928,488,north,54.56,1.82
47,9.2,118.04,125.27,908,588,north,56.89,2.32
48,9.4,120.79,124.43,984,508,north,59.22,2.88
49,9.6,121.96,122.37,948,476,east,59.7,2.37
50,9.8,124.31,118.72,944,684,east,60.95,4.34
51,10,126.01,114.52,852,564,east,61.75,4.53
52,10.2,127.22,111.28,840,508,east,62.46,3.46
53,10.4,127.95,106.13,848,592,east,62.66,5.2
54,10.6,128.28,101.43,848,496,east,62.88,4.71
55,10.8,128.36,95.76,876,564,east,63.19,5.67
56,11,128.8,90.04,848,492,east,64.27,5.74
57,11.2,130.03,85.02,880,520,east,66.43,5.17
58,11.4,131.55,79.84,848,456,east,69.25,5.39
