Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00071.trk,,,,,,,
Object,0,,,,,,,
Samples,25,,,,,,,
treatment,1,,,,,,,
cage,43,,,,,,,
mark,2,,,,,,,
id,83,,,,,,,
trial,3,,,,,,,
date,28/07/2009 12:05,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,-22.87,-25.32,376,24,s ext,141.86,-
2,0.2,-19.04,-21.57,432,240,s ext,136.63,5.36
3,0.4,-16.33,-19.68,388,724,s ext,133.59,3.3
4,0.6,-10.57,-16.53,296,628,s ext,127.9,6.56
5,0.8,-7,-14.45,360,232,s ext,124.3,4.13
6,1,-3.28,-12.52,340,196,s ext,120.78,4.2
8,1.4,-5.12,-13.09,296,172,s ext,122.18,1.93
9,1.6,-4.13,-12.05,436,188,s ext,120.79,1.44
11,2,-4.24,-13.56,224,328,s ext,122.16,1.51
12,2.2,-,-,-,-,-,-,-
13,2.4,-,-,-,-,-,-,-
14,2.6,-,-,-,-,-,-,-
15,2.8,-,-,-,-,-,-,-
16,3,-,-,-,-,-,-,-
17,3.2,-,-,-,-,-,-,-
18,3.4,-,-,-,-,-,-,-
19,3.6,-,-,-,-,-,-,-
20,3.8,-,-,-,-,-,-,-
21,4,-,-,-,-,-,-,-
22,4.2,-,-,-,-,-,-,-
23,4.4,-,-,-,-,-,-,-
24,4.6,-,-,-,-,-,-,-
25,4.8,-,-,-,-,-,-,-
