Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00100.trk,,,,,,,
Object,0,,,,,,,
Samples,65,,,,,,,
treatment,1,,,,,,,
cage,49,,,,,,,
mark,1,,,,,,,
id,71,,,,,,,
trial,4,,,,,,,
date,16:08.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,201.04,-13.7,352,308,s ext,176,-
2,0.2,197.26,-10.77,472,352,s ext,171.22,4.78
3,0.4,193.44,-7.45,608,288,s ext,166.17,5.06
4,0.6,188.23,-3.66,584,464,s ext,159.73,6.45
5,0.8,186.46,-3.95,624,368,s ext,158.53,1.79
6,1,184.69,-3.78,600,288,s ext,157.06,1.78
7,1.2,182.47,-4.02,496,304,s ext,155.49,2.23
8,1.4,181.04,-3.04,496,264,s ext,153.77,1.73
9,1.6,177.81,-1.54,472,304,s ext,150.32,3.56
10,1.8,172,2.1,548,300,s ext,143.52,6.85
11,2,162.88,8.76,588,352,south,132.26,11.29
12,2.2,154.7,15.27,596,408,south,121.81,10.45
13,2.4,145.61,21.77,656,492,south,110.67,11.18
14,2.6,138.19,25.45,620,436,south,102.68,8.28
15,2.8,133.58,27.83,624,332,south,97.66,5.19
16,3,126.36,30.71,616,552,south,90.46,7.77
17,3.2,119.81,34.72,696,376,south,82.99,7.68
18,3.4,110.57,40.33,736,544,south,72.58,10.81
19,3.6,103.41,44.93,736,496,south,64.41,8.51
20,3.8,98.11,48.89,716,492,south,57.98,6.62
21,4,93.4,51.65,792,500,south,52.92,5.46
22,4.2,89.05,53.32,812,476,south,49.05,4.66
23,4.4,85.11,56.16,804,560,south,44.54,4.86
24,4.6,82.57,58.98,816,572,south,40.81,3.8
25,4.8,81.49,63.32,892,564,south,36.55,4.47
26,5,80.86,68.88,840,636,south,31.61,5.6
27,5.2,80.98,73.95,820,580,south,27.81,5.07
28,5.4,80.84,77.65,820,456,south,25.13,3.7
29,5.6,81.98,81.18,852,456,south,23.77,3.71
30,5.8,83.64,84.85,884,528,south,22.98,4.03
31,6,85.76,89.21,876,552,west,22.98,4.86
32,6.2,87.62,93.4,900,552,west,23.27,4.58
33,6.4,89.86,97.55,920,532,west,24.67,4.71
34,6.6,91.38,100.85,984,496,west,26,3.63
35,6.8,92.8,104.07,996,476,west,27.45,3.52
36,7,94.07,107.83,968,524,west,29.16,3.97
37,7.2,95,109.72,1044,452,north,30.38,2.11
38,7.4,96.34,112.85,952,492,north,32.41,3.4
39,7.6,96.43,115.85,928,880,north,33.4,3
40,7.8,96.08,117.62,940,540,north,33.63,1.81
41,8,93.23,121.1,932,528,north,32.42,4.49
42,8.2,91.16,123.52,928,508,north,31.86,3.19
43,8.4,88.84,124.16,904,648,north,30.32,2.41
44,8.6,85.76,124.92,888,440,north,28.27,3.16
45,8.8,83.17,124.46,972,500,north,25.91,2.64
46,9,81.05,124.66,892,304,north,24.4,2.13
47,9.2,79.22,124.21,924,496,north,22.74,1.89
48,9.4,76.42,124.58,928,364,north,21.03,2.82
49,9.6,72.92,125.14,1044,492,west,19.31,3.54
50,9.8,67.64,126.89,948,544,west,17.88,5.57
51,10,63.37,127.88,824,612,west,17.43,4.38
52,10.2,61.64,127.52,836,508,west,16.68,1.77
53,10.4,59.69,124.62,892,592,west,13.5,3.49
54,10.6,59.06,121.2,908,472,west,10.02,3.49
55,10.8,58.59,116.59,856,452,platform larger,5.39,4.63
56,11,58.09,110.75,796,516,platform,0,5.87
57,11.2,58.37,105.78,816,460,platform,0,4.97
58,11.4,58.81,102.87,804,284,platform,0,2.95
59,11.6,59.36,103.95,784,324,platform,0,1.22
60,11.8,59.36,103.95,772,228,platform,0,0
61,12,59.49,102.99,776,180,platform,0,0.97
62,12.2,59.49,102.99,772,116,platform,0,0
63,12.4,59.49,102.99,780,80,platform,0,0
64,12.6,59.49,102.99,808,108,platform,0,0
65,12.8,60.17,103.12,732,228,platform,0,0.69
