Session,ID,Group
1,87,1
1,88,2
1,90,2
1,91,1
1,93,1
1,95,1
1,98,2
1,99,1
1,100,2
1,101,1
1,103,1
1,104,2
1,106,2
1,108,2
1,113,2
1,114,1
1,115,1
1,118,2
1,121,1
1,122,2
2,43,1
2,44,2
2,49,1
2,50,2
2,52,1
2,53,2
2,57,1
2,58,2
2,59,1
2,60,2
2,65,1
2,67,2
2,71,2
2,76,2
2,78,2
2,82,1
2,83,2
3,50,1
3,51,3
3,52,2
3,53,4
3,55,3
3,56,3
3,57,2
3,58,4
3,61,1
3,62,3
3,63,2
3,64,4
3,67,1
3,68,3
3,69,2
3,71,1
3,72,4
3,73,2
3,74,3
3,75,1
3,76,4
3,81,2
3,82,3
3,83,1
3,84,4
3,90,1
3,91,3
3,92,2
3,94,1
3,95,3
3,96,2
3,97,4
3,100,1
3,102,2
3,103,4
3,106,3
3,107,2
3,108,4
3,111,1
3,113,4
