Segment,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11
    1,SS,,,,,,,,,,
    4,SS,,,,,,,,,,
    5,SS,,,,,,,,,,
    7,TT,,,,,,,,,,
   10,TT,,,,,,,,,,
   16,TT,,,,,,,,,,
   24,SS,,,,,,,,,,
   42,IC,,,,,,,,,,
   59,TT,,,,,,,,,,
   66,TT,,,,,,,,,,
   69,TT,,,,,,,,,,
   75,TT,,,,,,,,,,
   78,TT,,,,,,,,,,
   79,IC,,,,,,,,,,
   83,IC,,,,,,,,,,
   85,IC,,,,,,,,,,
   86,IC,,,,,,,,,,
   87,IC,,,,,,,,,,
   89,IC,SC,,,,,,,,,
   90,IC,,,,,,,,,,
   92,IC,,,,,,,,,,
  117,IC,,,,,,,,,,
  123,SS,,,,,,,,,,
  129,CR,,,,,,,,,,
  131,SC,,,,,,,,,,
  132,SC,,,,,,,,,,
  137,TT,,,,,,,,,,
  140,TT,,,,,,,,,,
  152,SC,,,,,,,,,,
  155,IC,,,,,,,,,,
  164,IC,,,,,,,,,,
  167,SS,,,,,,,,,,
  170,SS,,,,,,,,,,
  176,TT,,,,,,,,,,
  178,TT,,,,,,,,,,
  181,TT,,,,,,,,,,
  193,ST,,,,,,,,,,
  196,ST,,,,,,,,,,
  202,SC,,,,,,,,,,
  210,TT,,,,,,,,,,
  212,SC,,,,,,,,,,
  213,SC,,,,,,,,,,
  214,SC,,,,,,,,,,
  220,CR,,,,,,,,,,
  223,SC,,,,,,,,,,
  225,SC,,,,,,,,,,
  228,SO,,,,,,,,,,
  232,IC,,,,,,,,,,
  235,IC,,,,,,,,,,
  241,IC,,,,,,,,,,
  247,TT,,,,,,,,,,
  272,TT,,,,,,,,,,
  286,TT,,,,,,,,,,
  303,TT,,,,,,,,,,
  308,TT,,,,,,,,,,
  310,TT,,,,,,,,,,
  313,TT,,,,,,,,,,
  316,TT,,,,,,,,,,
  325,TT,,,,,,,,,,
  329,IC,,,,,,,,,,
  338,SS,,,,,,,,,,
  341,SS,,,,,,,,,,
  343,SS,,,,,,,,,,
  352,IC,,,,,,,,,,
  355,IC,,,,,,,,,,
  358,IC,,,,,,,,,,
  359,IC,,,,,,,,,,
  364,SS,,,,,,,,,,
  376,IC,,,,,,,,,,
  385,SS,,,,,,,,,,
  388,SC,,,,,,,,,,
  399,TT,,,,,,,,,,
  400,TT,,,,,,,,,,
  402,TT,,,,,,,,,,
  403,TT,,,,,,,,,,
  408,IC,,,,,,,,,,
  409,IC,,,,,,,,,,
  414,SC,,,,,,,,,,
  423,SS,,,,,,,,,,
  426,IC,,,,,,,,,,
  429,IC,,,,,,,,,,
  432,IC,,,,,,,,,,
  441,SS,,,,,,,,,,
  447,SS,,,,,,,,,,
  450,SC,,,,,,,,,,
  453,FS,,,,,,,,,,
  456,SO,,,,,,,,,,
  457,SO,,,,,,,,,,
  462,IC,,,,,,,,,,
