Trajectory,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11
  1,TT,IC,,,,,,,,,
  2,DF,,,,,,,,,,
  3,TT,IC,ST,,,,,,,,
  4,SO,,,,,,,,,,
  5,TT,,,,,,,,,,
  6,IC,,,,,,,,,,
  7,SO,,,,,,,,,,
  8,SC,,,,,,,,,,
  9,TT,IC,,,,,,,,,
 10,IC,SC,ST,,,,,,,,
 11,SC,ST,,,,,,,,,
 12,ST,,,,,,,,,,
 13,IC,SC,,,,,,,,,
 14,TT,IC,,,,,,,,,
 15,TT,IC,,,,,,,,,
 16,TT,IC,,,,,,,,,
 17,TT,,,,,,,,,,
 18,IC,,,,,,,,,,
 19,SC,IC,,,,,,,,,
 20,TT,IC,SC,,,,,,,,
 21,TT,,,,,,,,,,
 22,TT,,,,,,,,,,
 23,TT,IC,SC,,,,,,,,
 24,TT,IC,,,,,,,,,
 25,TT,,,,,,,,,,
 26,IC,,,,,,,,,,
 27,IC,SC,ST,,,,,,,,
 28,SC,,,,,,,,,,
 29,TT,IC,,,,,,,,,
 30,IC,ST,,,,,,,,,
 31,IC,,,,,,,,,,
 32,IC,,,,,,,,,,
 33,TT,,,,,,,,,,
 34,SO,,,,,,,,,,
 35,IC,SC,,,,,,,,,
 36,ST,,,,,,,,,,
 37,TT,,,,,,,,,,
 38,IC,SC,ST,,,,,,,,
 39,IC,SC,,,,,,,,,
 40,IC,SC,,,,,,,,,
 41,IC,,,,,,,,,,
 42,TT,IC,,,,,,,,,
 43,DF,,,,,,,,,,
 44,SC,,,,,,,,,,
 45,TT,IC,SC,,,,,,,,
 46,TT,IC,SC,,,,,,,,
 47,SC,,,,,,,,,,
 48,TT,,,,,,,,,,
 49,TT,IC,,,,,,,,,
 50,SC,,,,,,,,,,
 51,DF,,,,,,,,,,
 52,ST,,,,,,,,,,
 53,TT,IC,,,,,,,,,
 54,TT,IC,SC,,,,,,,,
 55,TT,IC,SC,,,,,,,,
 56,TT,IC,SC,,,,,,,,
 57,TT,,,,,,,,,,
 58,TT,IC,,,,,,,,,
 59,TT,IC,,,,,,,,,
 60,TT,IC,,,,,,,,,
 61,DF,,,,,,,,,,
 62,TT,IC,SC,,,,,,,,
 63,SC,,,,,,,,,,
 64,SO,,,,,,,,,,
 65,TT,IC,,,,,,,,,
 66,TT,IC,,,,,,,,,
 67,TT,IC,,,,,,,,,
 68,SO,,,,,,,,,,
 69,TT,IC,,,,,,,,,
 70,SC,,,,,,,,,,
 71,ST,,,,,,,,,,
 72,DF,,,,,,,,,,
 73,TT,IC,,,,,,,,,
 74,ST,,,,,,,,,,
 75,SC,,,,,,,,,,
 76,SO,,,,,,,,,,
 77,TT,IC,,,,,,,,,
 78,SO,,,,,,,,,,
 79,TT,IC,,,,,,,,,
 80,TT,IC,,,,,,,,,
 81,TT,IC,,,,,,,,,
 82,SO,,,,,,,,,,
 83,DF,,,,,,,,,,
 84,TT,IC,,,,,,,,,
 85,TT,IC,,,,,,,,,
 86,DF,SC,,,,,,,,,
 87,SO,,,,,,,,,,
 88,TT,IC,,,,,,,,,
 89,SO,ST,,,,,,,,,
 90,SO,,,,,,,,,,
 91,SO,,,,,,,,,,
 92,DF,,,,,,,,,,
 93,TT,IC,,,,,,,,,
 94,SC,,,,,,,,,,
 95,TT,IC,ST,,,,,,,,
 96,TT,SC,,,,,,,,,
 97,SC,,,,,,,,,,
 98,TT,IC,,,,,,,,,
 99,IC,,,,,,,,,,
100,IC,SC,ST,,,,,,,,
101,TT,,,,,,,,,,
102,TT,IC,,,,,,,,,
103,TT,IC,,,,,,,,,
104,SO,,,,,,,,,,
105,IC,SC,,,,,,,,,
106,SO,,,,,,,,,,
107,DF,,,,,,,,,,
108,DF,,,,,,,,,,
109,TT,IC,,,,,,,,,
110,IC,,,,,,,,,,
111,ST,,,,,,,,,,
112,ST,,,,,,,,,,
113,TT,IC,,,,,,,,,
114,TT,IC,,,,,,,,,
115,TT,IC,,,,,,,,,
116,IC,SC,,,,,,,,,
117,TT,IC,,,,,,,,,
118,IC,SC,,,,,,,,,
119,IC,,,,,,,,,,
120,SC,,,,,,,,,,
121,SO,,,,,,,,,,
122,SO,,,,,,,,,,
123,SC,ST,,,,,,,,,
124,SC,,,,,,,,,,
125,TT,IC,,,,,,,,,
126,TT,IC,,,,,,,,,
127,TT,IC,,,,,,,,,
128,TT,IC,SC,ST,,,,,,,
129,SO,,,,,,,,,,
130,DF,,,,,,,,,,
131,DF,,,,,,,,,,
132,SO,,,,,,,,,,
133,TT,IC,,,,,,,,,
134,IC,,,,,,,,,,
135,SC,,,,,,,,,,
136,DF,,,,,,,,,,
137,TT,IC,,,,,,,,,
138,IC,,,,,,,,,,
139,IC,,,,,,,,,,
140,TT,IC,,,,,,,,,
141,TT,IC,SC,ST,,,,,,,
142,SO,,,,,,,,,,
